# file...... V_Data_transformer.csv
# date...... Fri May 18 11:46:44 2012
# user...... Luca Meschiari
# host...... (null)
# target.... meter 14
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, voltage_A.real,voltage_A.imag, voltage_B.real,voltage_B.imag, voltage_C.real,voltage_C.imag
2009-07-21 01:30:00 PDT,+5906.13,+2397.09,-5.22632,-1205.5,-2069.25,-1134.61,+2065.1
2009-07-21 02:00:00 PDT,+2216.77,+2396.95,-5.47884,-1205.64,-2069.01,-1186.85,+2078.65
2009-07-21 02:30:00 PDT,+1935.43,+2397.48,-4.53033,-1205.12,-2069.89,-1188.61,+2078.63
2009-07-21 03:00:00 PDT,+2274.05,+2397.37,-4.72289,-1205.96,-2068.48,-1185.81,+2078.66
2009-07-21 03:30:00 PDT,+2136.62,+2396.54,-6.2115,-1204.88,-2070.29,-1187.3,+2078.64
2009-07-21 04:00:00 PDT,+2118.5,+2396.73,-5.87515,-1205.05,-2070.02,-1187.48,+2078.64
2009-07-21 04:30:00 PDT,+1854.16,+2397,-5.39505,-1204.26,-2071.35,-1189.03,+2078.63
2009-07-21 05:00:00 PDT,+1453.65,+2397.67,-4.19439,-1203.44,-2072.72,-1191.56,+2078.59
2009-07-21 05:30:00 PDT,+1926.14,+2396.76,-5.8271,-1204.41,-2071.1,-1188.82,+2078.63
2009-07-21 06:00:00 PDT,+1654.83,+2396.78,-5.79108,-1203.48,-2072.65,-1190.71,+2078.6
2009-07-21 06:30:00 PDT,+1801.07,+2397.7,-4.13439,-1205.2,-2069.76,-1190.16,+2078.61
2009-07-21 07:00:00 PDT,+2268.68,+2396.99,-5.40707,-1207.07,-2066.6,-1188.86,+2078.63
2009-07-21 07:30:00 PDT,+1755.96,+2396.91,-5.55089,-1204.01,-2071.76,-1190.07,+2078.61
2009-07-21 08:00:00 PDT,+2440.92,+2397.24,-4.96267,-1206.6,-2067.4,-1185.04,+2078.67
2009-07-21 08:30:00 PDT,+3082.55,+2397,-5.38338,-1208.43,-2064.29,-1180.29,+2078.7
2009-07-21 09:00:00 PDT,+2585.38,+2396.69,-5.94719,-1206.65,-2067.32,-1184.28,+2078.67
2009-07-21 09:30:00 PDT,+6173.64,+2396.7,-5.93564,-1220.66,-2016,-1185.46,+2078.66
2009-07-21 10:00:00 PDT,+2321.06,+2397.04,-5.32333,-1205.79,-2068.76,-1185.52,+2078.66
2009-07-21 10:30:00 PDT,+5626.26,+2397.11,-5.19029,-1204.39,-2071.12,-1136.28,+2065.15
2009-07-21 11:00:00 PDT,+2940.14,+2392.79,-12.882,-1203.59,-2072.46,-1181.37,+2078.69
2009-07-21 11:30:00 PDT,+7345.74,+2378.87,-36.6308,-1204.99,-2070.11,-1150.52,+2078.38
2009-07-21 12:00:00 PDT,+3918.18,+2391.57,-15.0141,-1205.64,-2069.03,-1174.33,+2078.7
2009-07-21 12:30:00 PDT,+11203.8,+2354.46,-51.9438,-1206.34,-2067.84,-1123.9,+2064.73
2009-07-21 13:00:00 PDT,+5722.21,+2387.38,-22.2857,-1208.1,-2064.84,-1162.63,+2078.63
2009-07-21 13:30:00 PDT,+11148.9,+2354.76,-51.4549,-1206.61,-2067.38,-1124.65,+2064.75
2009-07-21 14:00:00 PDT,+3350.1,+2394.02,-10.6946,-1206.4,-2067.74,-1178.71,+2078.7
2009-07-21 14:30:00 PDT,+2548.22,+2395.23,-8.56614,-1205,-2070.11,-1184.56,+2078.67
2009-07-21 15:00:00 PDT,+2266.73,+2396.17,-6.88417,-1204.91,-2070.25,-1186.34,+2078.65
2009-07-21 15:30:00 PDT,+1768.18,+2397.63,-4.25447,-1204.25,-2071.36,-1188.89,+2078.63
2009-07-21 16:00:00 PDT,+2020.38,+2396.7,-5.92337,-1204.36,-2071.18,-1187.54,+2078.64
2009-07-21 16:30:00 PDT,+5758.48,+2397.47,-4.55462,-1220.02,-2017.22,-1188.24,+2078.63
2009-07-21 17:00:00 PDT,+5555.39,+2387.33,-22.3879,-1207.94,-2065.13,-1164.72,+2078.66
2009-07-21 17:30:00 PDT,+5899.83,+2386.35,-24.1273,-1210.22,-2061.23,-1166.49,+2078.68
2009-07-21 18:00:00 PDT,+6953.72,+2381.88,-31.6928,-1208.48,-2064.2,-1157.16,+2078.56
2009-07-21 18:30:00 PDT,+6649.79,+2385.96,-24.785,-1212.74,-2056.89,-1161.88,+2078.64
2009-07-21 19:00:00 PDT,+7270.25,+2395.66,-7.79597,-1227.82,-2029.94,-1164.36,+2078.62
2009-07-21 19:30:00 PDT,+4969.7,+2394.32,-10.1855,-1217.7,-2048.2,-1178.28,+2078.7
2009-07-21 20:00:00 PDT,+4064.82,+2396.2,-6.83511,-1212.04,-2058.08,-1175.58,+2078.69
2009-07-21 20:30:00 PDT,+4216.76,+2394.42,-10.0051,-1210.95,-2059.95,-1174.97,+2078.7
2009-07-21 21:00:00 PDT,+3270.66,+2394.66,-9.5849,-1208.22,-2064.64,-1182.12,+2078.68
2009-07-21 21:30:00 PDT,+3826.46,+2395.14,-8.72033,-1210.81,-2060.21,-1178.59,+2078.7
2009-07-21 22:00:00 PDT,+3823.91,+2394.5,-9.87307,-1210.56,-2060.65,-1179.44,+2078.7
2009-07-21 22:30:00 PDT,+6144.62,+2392.71,-13.0446,-1222,-2040.55,-1174.05,+2078.71
2009-07-21 23:00:00 PDT,+4009.35,+2394.41,-10.0173,-1211.45,-2059.12,-1178.82,+2078.7
2009-07-21 23:30:00 PDT,+4247.91,+2392.45,-13.4891,-1210,-2061.6,-1176.65,+2078.7
2009-07-22 00:00:00 PDT,+3099.67,+2396.08,-7.03925,-1208.5,-2064.17,-1182.09,+2078.68
2009-07-22 00:30:00 PDT,+3212.06,+2394.77,-9.39267,-1207.91,-2065.17,-1182.09,+2078.68
2009-07-22 01:00:00 PDT,+8281.13,+2395.28,-8.46871,-1227.14,-2003.66,-1172.89,+2078.68
2009-07-22 01:30:00 PDT,+2598.64,+2396.2,-6.82312,-1206.74,-2067.15,-1185.3,+2078.66
