# file...... V_tm_7.csv
# date...... Mon Jul  9 12:51:41 2012
# user...... mike
# host...... (null)
# target.... triplex_meter 472
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, measured_power.real, measured_power.imag, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2012-07-09 04:52:40 PDT,+0,+0,+0,+119.998,-0.000516105,+119.998,-0.000516105,+239.996,-0.00103221
2012-07-09 05:22:40 PDT,+1420.74,+1420.74,+466.974,+118.951,-0.947535,+118.39,-1.03631,+237.341,-1.98384
2012-07-09 05:52:40 PDT,+1420.74,+1420.74,+466.974,+118.951,-0.947535,+118.39,-1.03631,+237.341,-1.98384
2012-07-09 06:22:40 PDT,+0,+0,+0,+118.884,-0.917676,+118.884,-0.917676,+237.767,-1.83535
2012-07-09 06:52:40 PDT,+0,+0,+0,+118.926,-0.884032,+118.926,-0.884032,+237.852,-1.76806
2012-07-09 07:22:40 PDT,+0,+0,+0,+118.926,-0.884032,+118.926,-0.884032,+237.852,-1.76806
2012-07-09 07:52:40 PDT,+0,+0,+0,+119.042,-0.788221,+119.042,-0.788221,+238.084,-1.57644
2012-07-09 08:22:40 PDT,+0,+0,+0,+119.084,-0.754372,+119.084,-0.754372,+238.168,-1.50874
2012-07-09 08:52:40 PDT,+0,+0,+0,+119.168,-0.686377,+119.168,-0.686377,+238.335,-1.37275
2012-07-09 09:22:40 PDT,+0,+0,+0,+119.168,-0.686377,+119.168,-0.686377,+238.335,-1.37275
2012-07-09 09:52:40 PDT,+0,+0,+0,+119.168,-0.686377,+119.168,-0.686377,+238.335,-1.37275
2012-07-09 10:22:40 PDT,+0,+0,+0,+119.168,-0.686377,+119.168,-0.686377,+238.335,-1.37275
2012-07-09 10:52:40 PDT,+0,+0,+0,+119.251,-0.618597,+119.251,-0.618597,+238.502,-1.23719
2012-07-09 11:22:40 PDT,+0,+0,+0,+119.334,-0.55022,+119.334,-0.55022,+238.669,-1.10044
2012-07-09 11:52:40 PDT,+0,+0,+0,+119.334,-0.55022,+119.334,-0.55022,+238.669,-1.10044
2012-07-09 12:22:40 PDT,+0,+0,+0,+119.418,-0.482184,+119.418,-0.482184,+238.836,-0.964367
2012-07-09 12:52:40 PDT,+0,+0,+0,+119.46,-0.448098,+119.46,-0.448098,+238.919,-0.896196
2012-07-09 13:22:40 PDT,+0,+0,+0,+119.501,-0.413698,+119.501,-0.413698,+239.002,-0.827396
2012-07-09 13:52:40 PDT,+0,+0,+0,+119.584,-0.345478,+119.584,-0.345478,+239.169,-0.690956
2012-07-09 14:22:40 PDT,+0,+0,+0,+119.626,-0.311137,+119.626,-0.311137,+239.252,-0.622274
2012-07-09 14:52:40 PDT,+0,+0,+0,+119.626,-0.311137,+119.626,-0.311137,+239.252,-0.622274
