# file...... V_tm_53.csv
# date...... Mon Jul  9 12:51:41 2012
# user...... mike
# host...... (null)
# target.... triplex_meter 518
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, measured_power.real, measured_power.imag, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2012-07-09 04:52:40 PDT,+0,+0,+0,-59.9988,-103.92,-59.9988,-103.92,-119.998,-207.839
2012-07-09 05:22:40 PDT,+1409.84,+1409.84,+463.391,-60.3747,-101.439,-60.1685,-100.91,-120.543,-202.349
2012-07-09 05:52:40 PDT,+1411.33,+1411.33,+463.881,-60.3555,-101.595,-60.1496,-101.066,-120.505,-202.661
2012-07-09 06:22:40 PDT,+1412.93,+1412.93,+464.407,-60.3352,-101.762,-60.1299,-101.233,-120.465,-202.994
2012-07-09 06:52:40 PDT,+1412.93,+1412.93,+464.407,-60.3352,-101.762,-60.1299,-101.233,-120.465,-202.994
2012-07-09 07:22:40 PDT,+1412.93,+1412.93,+464.407,-60.3352,-101.762,-60.1299,-101.233,-120.465,-202.994
2012-07-09 07:52:40 PDT,+1412.93,+1412.93,+464.407,-60.3352,-101.762,-60.1299,-101.233,-120.465,-202.994
2012-07-09 08:22:40 PDT,+1412.93,+1412.93,+464.407,-60.3352,-101.762,-60.1299,-101.233,-120.465,-202.994
2012-07-09 08:52:40 PDT,+1416.05,+1416.05,+465.432,-60.2998,-102.085,-60.0953,-101.555,-120.395,-203.64
2012-07-09 09:22:40 PDT,+1417.03,+1417.03,+465.742,-60.2881,-102.186,-60.0839,-101.657,-120.372,-203.843
2012-07-09 09:52:40 PDT,+1417.02,+1417.02,+465.753,-60.2881,-102.186,-60.0839,-101.657,-120.372,-203.843
2012-07-09 10:22:40 PDT,+1417.71,+1417.71,+465.979,-60.2782,-102.259,-60.0742,-101.729,-120.352,-203.988
2012-07-09 10:52:40 PDT,+1417.71,+1417.71,+465.979,-60.2782,-102.259,-60.0742,-101.729,-120.352,-203.988
2012-07-09 11:22:40 PDT,+1419.52,+1419.52,+466.575,-60.2555,-102.447,-60.052,-101.917,-120.307,-204.365
2012-07-09 11:52:40 PDT,+1421.37,+1421.37,+467.181,-60.232,-102.639,-60.029,-102.109,-120.261,-204.749
2012-07-09 12:22:40 PDT,+1422.07,+1422.07,+468.213,-60.2194,-102.737,-60.0165,-102.207,-120.236,-204.944
2012-07-09 12:52:40 PDT,+1422.31,+1422.31,+467.49,-60.22,-102.737,-60.0173,-102.207,-120.237,-204.944
2012-07-09 13:22:40 PDT,+1422.89,+1422.89,+467.681,-60.2105,-102.799,-60.008,-102.268,-120.218,-205.067
2012-07-09 13:52:40 PDT,+1422.89,+1422.89,+467.681,-60.2105,-102.799,-60.008,-102.268,-120.218,-205.067
2012-07-09 14:22:40 PDT,+1423.76,+1423.76,+467.966,-60.1989,-102.889,-59.9966,-102.359,-120.195,-205.248
2012-07-09 14:52:40 PDT,+0,+0,+0,-60.1303,-102.957,-60.1303,-102.957,-120.261,-205.914
