# file...... V_Data_transformer.csv
# date...... Wed Jul  4 12:22:54 2012
# user...... mike
# host...... (null)
# target.... meter 14
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, voltage_A.real,voltage_A.imag, voltage_B.real,voltage_B.imag, voltage_C.real,voltage_C.imag
2012-07-05 02:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 02:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 03:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 03:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 04:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 04:53:53 PDT,+6358.98,+2389.92,-17.8827,-1274.82,-1795.46,-1134.85,+2078.15
2012-07-05 05:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 05:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 06:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 06:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 07:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 07:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 08:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 08:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 09:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 09:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 10:23:53 PDT,+2778.57,+2389.92,-17.8795,-1231.59,-2023.22,-1129.91,+2073.03
2012-07-05 10:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 11:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 11:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 12:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 12:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 13:23:53 PDT,+6359.53,+2389.92,-17.8827,-1274.85,-1795.44,-1134.85,+2078.15
2012-07-05 13:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 14:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 14:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 15:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 15:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 16:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 16:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 17:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 17:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 18:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 18:53:53 PDT,+2696.45,+2389.92,-17.8812,-1231.58,-2023.22,-1134.65,+2078.1
2012-07-05 19:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 19:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 20:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 20:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 21:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 21:53:53 PDT,+6359.52,+2389.92,-17.8827,-1274.84,-1795.44,-1134.85,+2078.15
2012-07-05 22:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 22:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 23:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-05 23:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 00:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 00:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 01:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 01:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 02:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 02:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 03:23:53 PDT,+2692.98,+2389.92,-17.8813,-1231.58,-2023.22,-1134.84,+2078.15
2012-07-06 03:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 04:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 04:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 05:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 05:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 06:23:53 PDT,+2776.34,+2389.92,-17.8827,-1229.67,-2016.56,-1134.85,+2078.15
2012-07-06 06:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 07:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 07:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 08:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 08:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 09:23:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
2012-07-06 09:53:53 PDT,+2692.91,+2389.92,-17.8813,-1231.58,-2023.22,-1134.85,+2078.15
