# file...... V_tm_42.csv
# date...... Mon Jul  9 12:51:41 2012
# user...... mike
# host...... (null)
# target.... triplex_meter 507
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, measured_power.real, measured_power.imag, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2012-07-09 04:52:40 PDT,+0,+0,+0,-59.9977,+103.92,-59.9977,+103.92,-119.995,+207.841
2012-07-09 05:22:40 PDT,+1411.75,+1411.75,+464.02,-57.8355,+103.091,-57.4803,+102.648,-115.316,+205.738
2012-07-09 05:52:40 PDT,+1411.75,+1411.75,+464.02,-57.8355,+103.091,-57.4803,+102.648,-115.316,+205.738
2012-07-09 06:22:40 PDT,+1413.16,+1413.16,+464.483,-57.9727,+103.148,-57.6171,+102.706,-115.59,+205.854
2012-07-09 06:52:40 PDT,+1414.04,+1414.04,+464.773,-58.0577,+103.185,-57.7019,+102.742,-115.76,+205.927
2012-07-09 07:22:40 PDT,+1415.55,+1415.55,+465.27,-58.205,+103.246,-57.8488,+102.805,-116.054,+206.051
2012-07-09 07:52:40 PDT,+1416.48,+1416.48,+465.573,-58.2932,+103.285,-57.9368,+102.843,-116.23,+206.128
2012-07-09 08:22:40 PDT,+1416.48,+1416.48,+465.573,-58.2932,+103.285,-57.9368,+102.843,-116.23,+206.128
2012-07-09 08:52:40 PDT,+1416.48,+1416.48,+465.573,-58.2932,+103.285,-57.9368,+102.843,-116.23,+206.128
2012-07-09 09:22:40 PDT,+1417.4,+1417.4,+465.875,-58.3814,+103.323,-58.0248,+102.881,-116.406,+206.204
2012-07-09 09:52:40 PDT,+1418.17,+1418.17,+466.13,-58.4568,+103.354,-58.1,+102.913,-116.557,+206.267
2012-07-09 10:22:40 PDT,+1419.93,+1419.93,+466.709,-58.6271,+103.427,-58.2699,+102.986,-116.897,+206.413
2012-07-09 10:52:40 PDT,+1420.38,+1420.38,+466.857,-58.6731,+103.444,-58.3158,+103.003,-116.989,+206.446
2012-07-09 11:22:40 PDT,+1420.38,+1420.38,+466.857,-58.6731,+103.444,-58.3158,+103.003,-116.989,+206.446
2012-07-09 11:52:40 PDT,+1420.38,+1420.38,+466.857,-58.6731,+103.444,-58.3158,+103.003,-116.989,+206.446
2012-07-09 12:22:40 PDT,+1420.9,+1420.9,+467.028,-58.7257,+103.464,-58.3682,+103.023,-117.094,+206.487
2012-07-09 12:52:40 PDT,+1421.57,+1421.57,+467.246,-58.7914,+103.49,-58.4337,+103.049,-117.225,+206.54
2012-07-09 13:22:40 PDT,+1422.25,+1422.25,+468.252,-58.8801,+103.527,-58.5224,+103.087,-117.403,+206.614
2012-07-09 13:52:40 PDT,+1422.48,+1422.48,+467.548,-58.8799,+103.528,-58.522,+103.087,-117.402,+206.615
2012-07-09 14:22:40 PDT,+1422.48,+1422.48,+467.548,-58.8799,+103.528,-58.522,+103.087,-117.402,+206.615
2012-07-09 14:52:40 PDT,+1424.87,+1424.87,+468.334,-59.1129,+103.624,-58.7544,+103.184,-117.867,+206.809
