# file...... V_tm_58.csv
# date...... Mon Jul  9 12:51:41 2012
# user...... mike
# host...... (null)
# target.... triplex_meter 523
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, measured_power.real, measured_power.imag, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2012-07-09 04:52:40 PDT,+0,+0,+0,+119.996,-0.000738633,+119.996,-0.000738633,+239.993,-0.00147727
2012-07-09 05:22:40 PDT,+1409.76,+1409.76,+463.366,+118.029,-1.57228,+117.468,-1.65805,+235.498,-3.23034
2012-07-09 05:52:40 PDT,+1409.76,+1409.76,+463.366,+118.029,-1.57228,+117.468,-1.65805,+235.498,-3.23034
2012-07-09 06:22:40 PDT,+1411.37,+1411.37,+463.895,+118.165,-1.47076,+117.604,-1.55702,+235.769,-3.02777
2012-07-09 06:52:40 PDT,+1412.45,+1412.45,+464.249,+118.255,-1.40481,+117.694,-1.49139,+235.95,-2.8962
2012-07-09 07:22:40 PDT,+1412.45,+1412.45,+464.249,+118.255,-1.40481,+117.694,-1.49139,+235.95,-2.8962
2012-07-09 07:52:40 PDT,+1414.37,+1414.37,+464.881,+118.417,-1.279,+117.856,-1.36619,+236.274,-2.64519
2012-07-09 08:22:40 PDT,+1415.27,+1415.27,+465.175,+118.492,-1.2229,+117.932,-1.31035,+236.424,-2.53325
2012-07-09 08:52:40 PDT,+1416.73,+1416.73,+465.656,+118.615,-1.12867,+118.054,-1.21658,+236.67,-2.34525
2012-07-09 09:22:40 PDT,+1416.73,+1416.73,+465.656,+118.615,-1.12867,+118.054,-1.21658,+236.67,-2.34525
2012-07-09 09:52:40 PDT,+1416.73,+1416.73,+465.656,+118.615,-1.12867,+118.054,-1.21658,+236.67,-2.34525
2012-07-09 10:22:40 PDT,+1416.73,+1416.73,+465.656,+118.615,-1.12867,+118.054,-1.21658,+236.67,-2.34525
2012-07-09 10:52:40 PDT,+1418.84,+1418.84,+466.35,+118.792,-0.997885,+118.232,-1.08642,+237.024,-2.0843
2012-07-09 11:22:40 PDT,+1420.05,+1420.05,+466.748,+118.894,-0.91745,+118.333,-1.00636,+237.227,-1.92381
2012-07-09 11:52:40 PDT,+1420.05,+1420.05,+466.748,+118.894,-0.91745,+118.333,-1.00636,+237.227,-1.92381
2012-07-09 12:22:40 PDT,+1422.27,+1422.27,+467.476,+119.08,-0.779991,+118.519,-0.86956,+237.598,-1.64955
2012-07-09 12:52:40 PDT,+1423.37,+1423.37,+467.84,+119.172,-0.711111,+118.612,-0.801007,+237.784,-1.51212
2012-07-09 13:22:40 PDT,+1424.2,+1424.2,+469.043,+119.265,-0.641707,+118.704,-0.731604,+237.969,-1.37331
2012-07-09 13:52:40 PDT,+0,+0,+0,+119.299,-0.541899,+119.299,-0.541899,+238.598,-1.0838
2012-07-09 14:22:40 PDT,+0,+0,+0,+119.367,-0.489077,+119.367,-0.489077,+238.735,-0.978154
2012-07-09 14:52:40 PDT,+0,+0,+0,+119.367,-0.489077,+119.367,-0.489077,+238.735,-0.978154
