# file...... V_tm_28.csv
# date...... Mon Jul  9 12:51:41 2012
# user...... mike
# host...... (null)
# target.... triplex_meter 493
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, measured_power.real, measured_power.imag, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2012-07-09 04:52:40 PDT,+0,+0,+0,+119.997,-0.000631847,+119.997,-0.000631847,+239.994,-0.00126369
2012-07-09 05:22:40 PDT,+1414.96,+1414.96,+465.075,+118.466,-1.27645,+117.905,-1.36365,+236.372,-2.6401
2012-07-09 05:52:40 PDT,+1414.96,+1414.96,+465.075,+118.466,-1.27645,+117.905,-1.36365,+236.372,-2.6401
2012-07-09 06:22:40 PDT,+1416.21,+1416.21,+465.486,+118.571,-1.19494,+118.011,-1.28253,+236.582,-2.47748
2012-07-09 06:52:40 PDT,+1416.96,+1416.96,+465.734,+118.635,-1.14718,+118.074,-1.23499,+236.709,-2.38217
2012-07-09 07:22:40 PDT,+1416.96,+1416.96,+465.734,+118.635,-1.14718,+118.074,-1.23499,+236.709,-2.38217
2012-07-09 07:52:40 PDT,+1418.6,+1418.6,+466.272,+118.772,-1.03735,+118.212,-1.1257,+236.984,-2.16305
2012-07-09 08:22:40 PDT,+1419.35,+1419.35,+466.519,+118.835,-0.989288,+118.275,-1.07786,+237.11,-2.06715
2012-07-09 08:52:40 PDT,+1420.71,+1420.71,+466.965,+118.949,-0.900951,+118.388,-0.989945,+237.337,-1.8909
2012-07-09 09:22:40 PDT,+1420.71,+1420.71,+466.965,+118.949,-0.900951,+118.388,-0.989945,+237.337,-1.8909
2012-07-09 09:52:40 PDT,+1420.71,+1420.71,+466.965,+118.949,-0.900951,+118.388,-0.989945,+237.337,-1.8909
2012-07-09 10:22:40 PDT,+1420.71,+1420.71,+466.965,+118.949,-0.900951,+118.388,-0.989945,+237.337,-1.8909
2012-07-09 10:52:40 PDT,+1422.21,+1422.21,+467.459,+119.075,-0.804703,+118.514,-0.894155,+237.589,-1.69886
2012-07-09 11:22:40 PDT,+1423.42,+1423.42,+467.856,+119.176,-0.724075,+118.616,-0.81391,+237.792,-1.53799
2012-07-09 11:52:40 PDT,+1423.42,+1423.42,+467.856,+119.176,-0.724075,+118.616,-0.81391,+237.792,-1.53799
2012-07-09 12:22:40 PDT,+1424.92,+1424.92,+468.349,+119.302,-0.627457,+118.741,-0.717751,+238.043,-1.34521
2012-07-09 12:52:40 PDT,+1425.67,+1425.67,+468.596,+119.365,-0.579047,+118.804,-0.669569,+238.169,-1.24862
2012-07-09 13:22:40 PDT,+1426.22,+1426.22,+469.431,+119.427,-0.530234,+118.867,-0.620756,+238.293,-1.15099
2012-07-09 13:52:40 PDT,+1427.92,+1427.92,+469.334,+119.552,-0.433269,+118.992,-0.524479,+238.544,-0.957748
2012-07-09 14:22:40 PDT,+1428.67,+1428.67,+469.58,+119.615,-0.384474,+119.054,-0.475914,+238.669,-0.860387
2012-07-09 14:52:40 PDT,+1428.67,+1428.67,+469.58,+119.615,-0.384474,+119.054,-0.475914,+238.669,-0.860387
