# file...... V_tm_15.csv
# date...... Mon Jul  9 12:51:41 2012
# user...... mike
# host...... (null)
# target.... triplex_meter 480
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, measured_power.real, measured_power.imag, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2012-07-09 04:52:40 PDT,+0,+0,+0,-59.9983,+103.921,-59.9983,+103.921,-119.997,+207.842
2012-07-09 05:22:40 PDT,+1418.21,+1418.21,+466.143,-58.4248,+103.376,-58.0681,+102.935,-116.493,+206.311
2012-07-09 05:52:40 PDT,+1418.21,+1418.21,+466.143,-58.4248,+103.376,-58.0681,+102.935,-116.493,+206.311
2012-07-09 06:22:40 PDT,+1419.29,+1419.29,+466.499,-58.5328,+103.419,-58.1759,+102.978,-116.709,+206.397
2012-07-09 06:52:40 PDT,+1419.89,+1419.89,+466.695,-58.5917,+103.443,-58.2346,+103.002,-116.826,+206.445
2012-07-09 07:22:40 PDT,+0,+0,+0,-58.6014,+103.378,-58.6014,+103.378,-117.203,+206.756
2012-07-09 07:52:40 PDT,+0,+0,+0,-58.6603,+103.402,-58.6603,+103.402,-117.321,+206.804
2012-07-09 08:22:40 PDT,+0,+0,+0,-58.6603,+103.402,-58.6603,+103.402,-117.321,+206.804
2012-07-09 08:52:40 PDT,+0,+0,+0,-58.6603,+103.402,-58.6603,+103.402,-117.321,+206.804
2012-07-09 09:22:40 PDT,+0,+0,+0,-58.7192,+103.426,-58.7192,+103.426,-117.438,+206.851
2012-07-09 09:52:40 PDT,+0,+0,+0,-58.7782,+103.449,-58.7782,+103.449,-117.556,+206.898
2012-07-09 10:22:40 PDT,+0,+0,+0,-58.8962,+103.496,-58.8962,+103.496,-117.792,+206.992
2012-07-09 10:52:40 PDT,+0,+0,+0,-58.9422,+103.513,-58.9422,+103.513,-117.884,+207.026
2012-07-09 11:22:40 PDT,+0,+0,+0,-58.9422,+103.513,-58.9422,+103.513,-117.884,+207.026
2012-07-09 11:52:40 PDT,+0,+0,+0,-58.9422,+103.513,-58.9422,+103.513,-117.884,+207.026
2012-07-09 12:22:40 PDT,+0,+0,+0,-58.9948,+103.533,-58.9948,+103.533,-117.99,+207.066
2012-07-09 12:52:40 PDT,+0,+0,+0,-59.0539,+103.556,-59.0539,+103.556,-118.108,+207.112
2012-07-09 13:22:40 PDT,+0,+0,+0,-59.1132,+103.579,-59.1132,+103.579,-118.226,+207.158
2012-07-09 13:52:40 PDT,+0,+0,+0,-59.113,+103.58,-59.113,+103.58,-118.226,+207.159
2012-07-09 14:22:40 PDT,+0,+0,+0,-59.113,+103.58,-59.113,+103.58,-118.226,+207.159
2012-07-09 14:52:40 PDT,+0,+0,+0,-59.287,+103.648,-59.287,+103.648,-118.574,+207.295
