# file...... V_tm_69.csv
# date...... Mon Jul  9 12:51:41 2012
# user...... mike
# host...... (null)
# target.... triplex_meter 534
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, measured_power.real, measured_power.imag, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2012-07-09 04:52:40 PDT,+0,+0,+0,-59.9974,+103.92,-59.9974,+103.92,-119.995,+207.84
2012-07-09 05:22:40 PDT,+1408.2,+1408.2,+462.854,-57.5116,+102.933,-57.1571,+102.49,-114.669,+205.423
2012-07-09 05:52:40 PDT,+1408.2,+1408.2,+462.854,-57.5116,+102.933,-57.1571,+102.49,-114.669,+205.423
2012-07-09 06:22:40 PDT,+1409.93,+1409.93,+463.423,-57.6781,+103.005,-57.3232,+102.562,-115.001,+205.567
2012-07-09 06:52:40 PDT,+1410.82,+1410.82,+463.713,-57.763,+103.042,-57.4079,+102.599,-115.171,+205.641
2012-07-09 07:22:40 PDT,+1412.36,+1412.36,+464.222,-57.9134,+103.105,-57.5579,+102.663,-115.471,+205.768
2012-07-09 07:52:40 PDT,+0,+0,+0,-57.9231,+103.046,-57.9231,+103.046,-115.846,+206.092
2012-07-09 08:22:40 PDT,+0,+0,+0,-57.9231,+103.046,-57.9231,+103.046,-115.846,+206.092
2012-07-09 08:52:40 PDT,+0,+0,+0,-57.9231,+103.046,-57.9231,+103.046,-115.846,+206.092
2012-07-09 09:22:40 PDT,+0,+0,+0,-58.0407,+103.098,-58.0407,+103.098,-116.081,+206.197
2012-07-09 09:52:40 PDT,+0,+0,+0,-58.1159,+103.13,-58.1159,+103.13,-116.232,+206.26
2012-07-09 10:22:40 PDT,+0,+0,+0,-58.2959,+103.207,-58.2959,+103.207,-116.592,+206.415
2012-07-09 10:52:40 PDT,+0,+0,+0,-58.3419,+103.224,-58.3419,+103.224,-116.684,+206.449
2012-07-09 11:22:40 PDT,+0,+0,+0,-58.3419,+103.224,-58.3419,+103.224,-116.684,+206.449
2012-07-09 11:52:40 PDT,+0,+0,+0,-58.3419,+103.224,-58.3419,+103.224,-116.684,+206.449
2012-07-09 12:22:40 PDT,+0,+0,+0,-58.3944,+103.245,-58.3944,+103.245,-116.789,+206.489
2012-07-09 12:52:40 PDT,+0,+0,+0,-58.4599,+103.271,-58.4599,+103.271,-116.92,+206.542
2012-07-09 13:22:40 PDT,+0,+0,+0,-58.5748,+103.321,-58.5748,+103.321,-117.15,+206.642
2012-07-09 13:52:40 PDT,+0,+0,+0,-58.5745,+103.322,-58.5745,+103.322,-117.149,+206.643
2012-07-09 14:22:40 PDT,+0,+0,+0,-58.5745,+103.322,-58.5745,+103.322,-117.149,+206.643
2012-07-09 14:52:40 PDT,+0,+0,+0,-58.8597,+103.444,-58.8597,+103.444,-117.719,+206.887
