# file...... V_tm_31.csv
# date...... Mon Jul  9 12:51:41 2012
# user...... mike
# host...... (null)
# target.... triplex_meter 496
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, measured_power.real, measured_power.imag, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2012-07-09 04:52:40 PDT,+0,+0,+0,+119.997,-0.000645626,+119.997,-0.000645626,+239.994,-0.00129125
2012-07-09 05:22:40 PDT,+1414.28,+1414.28,+464.851,+118.409,-1.31523,+117.848,-1.40225,+236.257,-2.71748
2012-07-09 05:52:40 PDT,+1414.28,+1414.28,+464.851,+118.409,-1.31523,+117.848,-1.40225,+236.257,-2.71748
2012-07-09 06:22:40 PDT,+1415.57,+1415.57,+465.274,+118.517,-1.23174,+117.956,-1.31915,+236.474,-2.55089
2012-07-09 06:52:40 PDT,+1416.35,+1416.35,+465.533,+118.584,-1.18195,+118.023,-1.26961,+236.606,-2.45156
2012-07-09 07:22:40 PDT,+1416.35,+1416.35,+465.533,+118.584,-1.18195,+118.023,-1.26961,+236.606,-2.45156
2012-07-09 07:52:40 PDT,+1418.03,+1418.03,+466.084,+118.724,-1.07014,+118.163,-1.15832,+236.888,-2.22846
2012-07-09 08:22:40 PDT,+1418.82,+1418.82,+466.342,+118.79,-1.02004,+118.229,-1.10847,+237.02,-2.12851
2012-07-09 08:52:40 PDT,+1420.21,+1420.21,+466.8,+118.907,-0.929686,+118.346,-1.01854,+237.253,-1.94823
2012-07-09 09:22:40 PDT,+1420.21,+1420.21,+466.8,+118.907,-0.929686,+118.346,-1.01854,+237.253,-1.94823
2012-07-09 09:52:40 PDT,+1420.21,+1420.21,+466.8,+118.907,-0.929686,+118.346,-1.01854,+237.253,-1.94823
2012-07-09 10:22:40 PDT,+1420.21,+1420.21,+466.8,+118.907,-0.929686,+118.346,-1.01854,+237.253,-1.94823
2012-07-09 10:52:40 PDT,+1421.78,+1421.78,+467.317,+119.039,-0.829375,+118.478,-0.91871,+237.517,-1.74808
2012-07-09 11:22:40 PDT,+1422.99,+1422.99,+467.715,+119.14,-0.748772,+118.58,-0.83849,+237.72,-1.58726
2012-07-09 11:52:40 PDT,+1422.99,+1422.99,+467.715,+119.14,-0.748772,+118.58,-0.83849,+237.72,-1.58726
2012-07-09 12:22:40 PDT,+1424.56,+1424.56,+468.231,+119.272,-0.648077,+118.711,-0.738273,+237.983,-1.38635
2012-07-09 12:52:40 PDT,+1425.35,+1425.35,+468.49,+119.337,-0.597624,+118.777,-0.688058,+238.115,-1.28568
2012-07-09 13:22:40 PDT,+1425.93,+1425.93,+469.361,+119.403,-0.546751,+118.842,-0.637186,+238.245,-1.18394
2012-07-09 13:52:40 PDT,+1427.7,+1427.7,+469.263,+119.534,-0.445689,+118.974,-0.536841,+238.508,-0.98253
2012-07-09 14:22:40 PDT,+1428.49,+1428.49,+469.52,+119.6,-0.394832,+119.039,-0.486223,+238.639,-0.881055
2012-07-09 14:52:40 PDT,+1428.49,+1428.49,+469.52,+119.6,-0.394832,+119.039,-0.486223,+238.639,-0.881055
