# file...... V_tm_54.csv
# date...... Mon Jul  9 12:51:41 2012
# user...... mike
# host...... (null)
# target.... triplex_meter 519
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, measured_power.real, measured_power.imag, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2012-07-09 04:52:40 PDT,+0,+0,+0,-59.9975,+103.92,-59.9975,+103.92,-119.995,+207.84
2012-07-09 05:22:40 PDT,+1409.81,+1409.81,+463.384,-57.6588,+103.005,-57.304,+102.562,-114.963,+205.566
2012-07-09 05:52:40 PDT,+1409.81,+1409.81,+463.384,-57.6588,+103.005,-57.304,+102.562,-114.963,+205.566
2012-07-09 06:22:40 PDT,+1411.37,+1411.37,+463.894,-57.809,+103.069,-57.4538,+102.626,-115.263,+205.695
2012-07-09 06:52:40 PDT,+1412.25,+1412.25,+464.184,-57.894,+103.105,-57.5385,+102.663,-115.433,+205.768
2012-07-09 07:22:40 PDT,+1413.8,+1413.8,+464.693,-58.0444,+103.169,-57.6886,+102.727,-115.733,+205.895
2012-07-09 07:52:40 PDT,+1414.86,+1414.86,+465.043,-58.1457,+103.214,-57.7896,+102.772,-115.935,+205.985
2012-07-09 08:22:40 PDT,+1414.86,+1414.86,+465.043,-58.1457,+103.214,-57.7896,+102.772,-115.935,+205.985
2012-07-09 08:52:40 PDT,+1414.86,+1414.86,+465.043,-58.1457,+103.214,-57.7896,+102.772,-115.935,+205.985
2012-07-09 09:22:40 PDT,+1415.93,+1415.93,+465.392,-58.247,+103.258,-57.8907,+102.816,-116.138,+206.075
2012-07-09 09:52:40 PDT,+1416.7,+1416.7,+465.647,-58.3223,+103.29,-57.9658,+102.848,-116.288,+206.138
2012-07-09 10:22:40 PDT,+1418.57,+1418.57,+466.261,-58.5024,+103.367,-58.1455,+102.926,-116.648,+206.293
2012-07-09 10:52:40 PDT,+1419.02,+1419.02,+466.409,-58.5484,+103.384,-58.1914,+102.943,-116.74,+206.327
2012-07-09 11:22:40 PDT,+1419.02,+1419.02,+466.409,-58.5484,+103.384,-58.1914,+102.943,-116.74,+206.327
2012-07-09 11:52:40 PDT,+1419.02,+1419.02,+466.409,-58.5484,+103.384,-58.1914,+102.943,-116.74,+206.327
2012-07-09 12:22:40 PDT,+1419.54,+1419.54,+466.58,-58.601,+103.404,-58.2438,+102.963,-116.845,+206.367
2012-07-09 12:52:40 PDT,+1420.2,+1420.2,+466.798,-58.6666,+103.43,-58.3093,+102.989,-116.976,+206.42
2012-07-09 13:22:40 PDT,+1420.99,+1420.99,+467.952,-58.7684,+103.474,-58.4111,+103.033,-117.179,+206.507
2012-07-09 13:52:40 PDT,+1421.26,+1421.26,+467.147,-58.7682,+103.474,-58.4106,+103.034,-117.179,+206.508
2012-07-09 14:22:40 PDT,+1421.26,+1421.26,+467.147,-58.7682,+103.474,-58.4106,+103.034,-117.179,+206.508
2012-07-09 14:52:40 PDT,+1423.94,+1423.94,+468.027,-59.0274,+103.584,-58.6691,+103.143,-117.696,+206.727
