# file...... V_Data_transformer.csv
# date...... Fri May 18 11:49:03 2012
# user...... Luca Meschiari
# host...... (null)
# target.... meter 14
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, voltage_A.real,voltage_A.imag, voltage_B.real,voltage_B.imag, voltage_C.real,voltage_C.imag
2009-07-20 00:00:00 PDT,+3525.26,+2388.55,-20.2839,-1241.03,-2005.44,-1110.73,+2077.24
2009-07-20 00:30:00 PDT,+3564.19,+2386.56,-23.7411,-1240.5,-2006.45,-1111.47,+2077.28
2009-07-20 01:00:00 PDT,+2441.03,+2385.53,-25.5182,-1223.93,-2037.16,-1142.01,+2078.34
2009-07-20 01:30:00 PDT,+2284.08,+2387.69,-21.7711,-1223.36,-2038.18,-1145.26,+2078.41
2009-07-20 02:00:00 PDT,+2060.64,+2391.07,-15.8649,-1222.65,-2039.46,-1149.42,+2078.49
2009-07-20 02:30:00 PDT,+1466.63,+2390.96,-16.0562,-1214.98,-2052.98,-1167.17,+2078.68
2009-07-20 03:00:00 PDT,+1606.74,+2388.63,-20.1379,-1214.92,-2053.08,-1164,+2078.67
2009-07-20 03:30:00 PDT,+1590.68,+2388.52,-20.3299,-1214.67,-2053.51,-1164.61,+2078.67
2009-07-20 04:00:00 PDT,+1492.73,+2392.38,-13.5596,-1216.14,-2050.96,-1165.17,+2078.67
2009-07-20 04:30:00 PDT,+1634.72,+2389.87,-17.9774,-1215.94,-2051.3,-1162,+2078.65
2009-07-20 05:00:00 PDT,+1807.88,+2388.77,-19.8978,-1217.79,-2048.06,-1158.32,+2078.62
2009-07-20 05:30:00 PDT,+1546.63,+2390.47,-16.9202,-1215.86,-2051.44,-1165.5,+2078.68
2009-07-20 06:00:00 PDT,+1629.77,+2391.04,-15.9129,-1217.05,-2049.37,-1162.11,+2078.65
2009-07-20 06:30:00 PDT,+3036.82,+2360.32,-67.2702,-1224.28,-2036.54,-1158.09,+2078.62
2009-07-20 07:00:00 PDT,+2377.57,+2373.27,-46.2677,-1221.61,-2041.32,-1164.95,+2078.67
2009-07-20 07:30:00 PDT,+1712.87,+2389.26,-19.0334,-1216.77,-2049.85,-1160.55,+2078.64
2009-07-20 08:00:00 PDT,+2342.91,+2389.68,-18.3135,-1224.53,-2036.08,-1140.33,+2078.3
2009-07-20 08:30:00 PDT,+1559.77,+2392.24,-13.7996,-1216.03,-2051.15,-1161.49,+2078.65
2009-07-20 09:00:00 PDT,+1743.84,+2388.19,-20.9065,-1216.19,-2050.86,-1159.82,+2078.63
2009-07-20 09:30:00 PDT,+2058.73,+2379.47,-35.8508,-1212.03,-2058.07,-1151.26,+2078.52
2009-07-20 10:00:00 PDT,+2202.34,+2391.51,-15.0961,-1225.1,-2035.04,-1145.65,+2078.41
2009-07-20 10:30:00 PDT,+1911.19,+2389.13,-19.2739,-1219.2,-2045.59,-1154.68,+2078.57
2009-07-20 11:00:00 PDT,+3095.28,+2365.22,-59.4331,-1223.85,-2037.3,-1144.81,+2078.4
2009-07-20 11:30:00 PDT,+3568.9,+2349.1,-84.7775,-1223.93,-2037.15,-1148.06,+2078.46
2009-07-20 12:00:00 PDT,+4267.91,+2344.18,-92.2778,-1230.37,-2025.42,-1130.99,+2078.03
2009-07-20 12:30:00 PDT,+4429.85,+2331.14,-111.622,-1226.7,-2032.14,-1136.92,+2078.2
2009-07-20 13:00:00 PDT,+3271.72,+2363.6,-62.0292,-1225.69,-2033.96,-1141.77,+2078.33
2009-07-20 13:30:00 PDT,+3667.09,+2383.41,-29.17,-1237.62,-2011.93,-1105.83,+2077.02
2009-07-20 14:00:00 PDT,+2810.78,+2384.19,-27.8248,-1226.81,-2031.96,-1129.89,+2078.01
2009-07-20 14:30:00 PDT,+5561.38,+2390.77,-16.3929,-1267.82,-1950.8,-1049.51,+2072.82
2009-07-20 15:00:00 PDT,+2506.14,+2389.81,-18.0742,-1226.45,-2032.57,-1134.89,+2078.14
2009-07-20 15:30:00 PDT,+2569.82,+2387.67,-21.8193,-1226.07,-2033.27,-1134.9,+2078.15
2009-07-20 16:00:00 PDT,+4536.69,+2388.36,-20.6184,-1253.32,-1981.07,-1080.53,+2075.39
2009-07-20 16:30:00 PDT,+2220.9,+2389.13,-19.2743,-1223.38,-2038.14,-1145.94,+2078.42
2009-07-20 17:00:00 PDT,+2201.11,+2390.47,-16.9217,-1223.85,-2037.3,-1145.26,+2078.41
2009-07-20 17:30:00 PDT,+2131.9,+2389.79,-18.1209,-1223.19,-2038.47,-1149.19,+2078.48
2009-07-20 18:00:00 PDT,+2807.82,+2388.49,-20.3782,-1231.12,-2024.03,-1130.37,+2078
2009-07-20 18:30:00 PDT,+6464.21,+2345.4,-90.1666,-1241.09,-2005.34,-1025.03,+2070.43
2009-07-20 19:00:00 PDT,+5929.79,+2361.15,-65.7888,-1247.66,-1992.59,-1041.33,+2072.2
