# file...... V_tm_9.csv,,,,,,,,,
# date...... Fri May 18 11:47:13 2012,,,,,,,,,
# user...... Luca Meschiari,,,,,,,,,
# host...... (null),,,,,,,,,
# target.... triplex_meter 68,,,,,,,,,
# trigger... (none),,,,,,,,,
# interval.. 1800,,,,,,,,,
# limit..... 1000000,,,,,,,,,
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag,v1_3,v2_3
2009-07-20 21:30:00 PDT,1258,-57.8358,103.761,-58.2673,104.017,-116.103,207.778,118.7910977,119.2250583
2009-07-20 22:00:00 PDT,775,-58.4251,103.83,-58.6907,103.986,-117.116,207.816,119.1392513,119.4055546
2009-07-20 22:30:00 PDT,1503,-57.4323,103.722,-57.9479,104.029,-115.38,207.752,118.5610491,119.0797714
2009-07-20 23:00:00 PDT,1158,-57.8675,103.784,-58.2646,104.019,-116.132,207.803,118.8266225,119.2254837
2009-07-20 23:30:00 PDT,649,-58.3866,103.846,-58.6091,103.976,-116.996,207.822,119.1343224,119.3567559
2009-07-21 00:00:00 PDT,674,-58.7154,103.844,-58.9464,103.979,-117.662,207.823,119.2940675,119.5253551
2009-07-21 00:30:00 PDT,707,-58.735,103.839,-58.9774,103.981,-117.712,207.82,119.2993636,119.5423861
2009-07-21 01:00:00 PDT,564,-58.9622,103.858,-59.1555,103.97,-118.118,207.829,119.4279079,119.6207928
2009-07-21 01:30:00 PDT,538,-58.9777,103.861,-59.1621,103.969,-118.14,207.83,119.4381699,119.6231877
2009-07-21 02:00:00 PDT,531,-58.9557,103.862,-59.1376,103.968,-118.093,207.831,119.4281776,119.6102034
2009-07-21 02:30:00 PDT,498,-59.0844,103.866,-59.2551,103.965,-118.339,207.832,119.4952396,119.6657349
2009-07-21 03:00:00 PDT,579,-58.8714,103.856,-59.0698,103.972,-117.941,207.828,119.3813657,119.5801742
2009-07-21 03:30:00 PDT,463,-59.0068,103.871,-59.1655,103.963,-118.172,207.834,119.4612368,119.6196546
2009-07-21 04:00:00 PDT,450,-59.0228,103.873,-59.177,103.962,-118.2,207.835,119.4708795,119.624474
2009-07-21 04:30:00 PDT,375,-59.1493,103.882,-59.2778,103.957,-118.427,207.839,119.5412465,119.6700272
2009-07-21 05:00:00 PDT,264,-59.3532,103.896,-59.4436,103.948,-118.797,207.843,119.6544239,119.744429
2009-07-21 05:30:00 PDT,355,-59.1414,103.885,-59.2631,103.955,-118.405,207.84,119.5399449,119.6610089
2009-07-21 06:00:00 PDT,260,-59.297,103.896,-59.3861,103.948,-118.683,207.844,119.6265565,119.7158953
2009-07-21 06:30:00 PDT,365,-59.2286,103.884,-59.3536,103.956,-118.582,207.839,119.5822416,119.706724
2009-07-21 07:00:00 PDT,354,-59.1452,103.886,-59.2665,103.956,-118.412,207.842,119.542694,119.6635615
2009-07-21 07:30:00 PDT,332,-59.2328,103.887,-59.3465,103.953,-118.579,207.84,119.5869281,119.7005985
2009-07-21 08:00:00 PDT,350,-58.8881,103.887,-59.008,103.957,-117.896,207.844,119.4165696,119.5366133
2009-07-21 08:30:00 PDT,360,-58.5643,103.886,-58.6876,103.958,-117.252,207.844,119.2563551,119.3796472
2009-07-21 09:00:00 PDT,603,-58.761,103.853,-58.9677,103.974,-117.729,207.827,119.324351,119.5315118
2009-07-21 09:30:00 PDT,587,-58.8449,103.855,-59.0461,103.972,-117.891,207.827,119.3674297,119.5684687
2009-07-21 10:00:00 PDT,555,-58.8591,103.859,-59.0493,103.97,-117.908,207.83,119.3779106,119.5683099
2009-07-21 10:30:00 PDT,388,-59.1324,103.881,-59.2653,103.958,-118.398,207.838,119.5320162,119.6647047
2009-07-21 11:00:00 PDT,315,-58.6516,103.889,-58.7595,103.952,-117.411,207.841,119.301863,119.4097866
2009-07-21 11:30:00 PDT,515,-56.5072,103.811,-56.6837,103.918,-113.191,207.728,118.1938551,118.3722627
2009-07-21 12:00:00 PDT,4126.19,-50.4766,101.371,-50.6283,101.471,-101.105,202.842,113.2429547,113.4001261
2009-07-21 12:30:00 PDT,636,-58.2414,103.845,-58.4594,103.973,-116.701,207.818,119.0623563,119.2807033
2009-07-21 13:00:00 PDT,842,-57.2276,103.799,-57.5162,103.972,-114.744,207.771,118.5294504,118.8204109
2009-07-21 13:30:00 PDT,429,-58.3535,103.873,-58.5004,103.96,-116.854,207.833,119.141643,119.2894731
2009-07-21 14:00:00 PDT,333,-58.4663,103.887,-58.5804,103.954,-117.047,207.841,119.2091314,119.3234989
2009-07-21 14:30:00 PDT,389,-58.8441,103.881,-58.9774,103.958,-117.821,207.839,119.3896573,119.5223806
2009-07-21 15:00:00 PDT,429,-58.952,103.876,-59.099,103.961,-118.051,207.837,119.4385268,119.585038
2009-07-21 15:30:00 PDT,426,-59.1245,103.876,-59.2705,103.96,-118.395,207.836,119.5237628,119.6690176
2009-07-21 16:00:00 PDT,399,-59.0417,103.879,-59.1784,103.959,-118.22,207.838,119.4854342,119.6225594
2009-07-21 16:30:00 PDT,438,-59.0774,103.875,-59.2275,103.962,-118.305,207.836,119.4996017,119.6494639
2009-07-21 17:00:00 PDT,449,-57.4872,103.857,-57.641,103.948,-115.128,207.805,118.705748,118.8598822
2009-07-21 17:30:00 PDT,500,-57.5921,103.853,-57.7634,103.955,-115.356,207.808,118.7530867,118.9254069
2009-07-21 18:00:00 PDT,504,-56.96,103.834,-57.1326,103.937,-114.093,207.771,118.4311663,118.6045275
2009-07-21 18:30:00 PDT,874,-57.1682,103.795,-57.4678,103.975,-114.636,207.77,118.4972789,118.7996156
2009-07-21 19:00:00 PDT,2080,-56.9738,103.638,-57.6878,104.067,-114.662,207.705,118.2660092,118.9866495
2009-07-21 19:30:00 PDT,1050,-58.2244,103.794,-58.5844,104.006,-116.809,207.8,119.0095592,119.3707668
2009-07-21 20:00:00 PDT,1346,-57.9505,103.75,-58.4122,104.023,-116.363,207.773,118.8373803,119.301172
2009-07-21 20:30:00 PDT,4929.6,-53.9143,102.489,-54.332,102.75,-108.246,205.239,115.8047791,116.2304983
2009-07-21 21:00:00 PDT,737,-58.5755,103.835,-58.8281,103.983,-117.404,207.817,119.2174334,119.4705388
2009-07-21 21:30:00 PDT,971,-58.2671,103.803,-58.6,103.999,-116.867,207.802,119.0383037,119.3723251
2009-07-21 22:00:00 PDT,880,-58.3518,103.815,-58.6534,103.993,-117.005,207.808,119.0902464,119.3933222
2009-07-21 22:30:00 PDT,917,-57.9795,103.811,-58.2939,103.997,-116.273,207.807,118.9047776,119.2206139
2009-07-21 23:00:00 PDT,903,-58.303,103.812,-58.6125,103.994,-116.916,207.807,119.0637273,119.374106
2009-07-21 23:30:00 PDT,890,-58.161,103.812,-58.4661,103.991,-116.627,207.803,118.9942573,119.299677
2009-07-22 00:00:00 PDT,805,-58.553,103.826,-58.8289,103.988,-117.382,207.814,119.1985406,119.4752846
2009-07-22 00:30:00 PDT,850,-58.5395,103.819,-58.8309,103.99,-117.37,207.809,119.1858122,119.4780101
2009-07-22 01:00:00 PDT,1575,-57.6998,103.716,-58.2402,104.036,-115.94,207.752,118.6856166,119.2283951
2009-07-22 01:30:00 PDT,692,-58.8031,103.841,-59.0403,103.979,-117.843,207.82,119.3346465,119.5716917
2009-07-22 02:00:00 PDT,1321,-58.0032,103.753,-58.4563,104.021,-116.46,207.774,118.8657067,119.3210269
2009-07-22 02:30:00 PDT,597,-58.9378,103.853,-59.1424,103.972,-118.08,207.826,119.4115148,119.6160535
2009-07-22 03:00:00 PDT,354,-59.2097,103.884,-59.331,103.954,-118.541,207.838,119.5728817,119.693783
2009-07-22 03:30:00 PDT,343,-59.2935,103.885,-59.411,103.953,-118.704,207.838,119.6152681,119.7325901
2009-07-22 04:00:00 PDT,290,-59.3142,103.891,-59.4135,103.949,-118.728,207.84,119.630741,119.7303578
2009-07-22 04:30:00 PDT,411,-59.2026,103.877,-59.3435,103.958,-118.546,207.835,119.5632844,119.7034534
2009-07-22 05:00:00 PDT,398,-59.2158,103.879,-59.3522,103.957,-118.568,207.836,119.5715585,119.7068983
2009-07-22 05:30:00 PDT,315,-59.2864,103.889,-59.3943,103.951,-118.681,207.839,119.6152229,119.7225679
2009-07-22 06:00:00 PDT,348,-59.3125,103.885,-59.4317,103.954,-118.744,207.839,119.6246876,119.7437309
