# file...... house1.csv
# date...... Tue Aug  7 11:12:12 2012
# user...... mike
# host...... (null)
# target.... house 13
# trigger... (none)
# interval.. 60
# limit..... 1000000
# timestamp,air_temperature
2012-08-07 05:11:12 PDT,+67.0269
2012-08-07 05:12:12 PDT,+67.0357
2012-08-07 05:13:12 PDT,+67.0447
2012-08-07 05:14:12 PDT,+67.0539
2012-08-07 05:15:12 PDT,+67.0634
2012-08-07 05:16:12 PDT,+67.073
2012-08-07 05:17:12 PDT,+67.0829
2012-08-07 05:18:12 PDT,+67.093
2012-08-07 05:19:12 PDT,+67.1033
2012-08-07 05:20:12 PDT,+67.1138
2012-08-07 05:21:12 PDT,+67.1246
2012-08-07 05:22:12 PDT,+67.1355
2012-08-07 05:23:12 PDT,+67.1467
2012-08-07 05:24:12 PDT,+67.1581
2012-08-07 05:25:12 PDT,+67.1696
2012-08-07 05:26:12 PDT,+67.1814
2012-08-07 05:27:12 PDT,+67.1934
2012-08-07 05:28:12 PDT,+67.2056
2012-08-07 05:29:12 PDT,+67.218
2012-08-07 05:30:12 PDT,+67.2307
2012-08-07 05:31:12 PDT,+67.2435
2012-08-07 05:32:12 PDT,+67.2565
2012-08-07 05:33:12 PDT,+67.2698
2012-08-07 05:34:12 PDT,+67.2833
2012-08-07 05:35:12 PDT,+67.2969
2012-08-07 05:36:12 PDT,+67.3108
2012-08-07 05:37:12 PDT,+67.3249
2012-08-07 05:38:12 PDT,+67.3391
2012-08-07 05:39:12 PDT,+67.3536
2012-08-07 05:40:12 PDT,+67.3683
2012-08-07 05:41:12 PDT,+67.3832
2012-08-07 05:42:12 PDT,+67.3984
2012-08-07 05:43:12 PDT,+67.4137
2012-08-07 05:44:12 PDT,+67.4292
2012-08-07 05:45:12 PDT,+67.4449
2012-08-07 05:46:12 PDT,+67.4609
2012-08-07 05:47:12 PDT,+67.477
2012-08-07 05:48:12 PDT,+67.4933
2012-08-07 05:49:12 PDT,+67.5099
2012-08-07 05:50:12 PDT,+67.5267
2012-08-07 05:51:12 PDT,+67.5436
2012-08-07 05:52:12 PDT,+67.5608
2012-08-07 05:53:12 PDT,+67.5782
2012-08-07 05:54:12 PDT,+67.5957
2012-08-07 05:55:12 PDT,+67.6135
2012-08-07 05:56:12 PDT,+67.6315
2012-08-07 05:57:12 PDT,+67.6497
2012-08-07 05:58:12 PDT,+67.6681
2012-08-07 05:59:12 PDT,+67.6867
2012-08-07 06:00:12 PDT,+67.7055
2012-08-07 06:01:12 PDT,+67.7245
2012-08-07 06:02:12 PDT,+67.7439
2012-08-07 06:03:12 PDT,+67.7636
2012-08-07 06:04:12 PDT,+67.7836
2012-08-07 06:05:12 PDT,+67.8039
2012-08-07 06:06:12 PDT,+67.8245
2012-08-07 06:07:12 PDT,+67.8454
2012-08-07 06:08:12 PDT,+67.8665
2012-08-07 06:09:12 PDT,+67.8878
2012-08-07 06:10:12 PDT,+67.9094
2012-08-07 06:11:12 PDT,+67.9313
2012-08-07 06:12:12 PDT,+67.9533
2012-08-07 06:13:12 PDT,+67.9756
2012-08-07 06:14:12 PDT,+67.9981
2012-08-07 06:15:12 PDT,+68.0208
2012-08-07 06:16:12 PDT,+68.0437
2012-08-07 06:17:12 PDT,+68.0668
2012-08-07 06:18:12 PDT,+68.0902
2012-08-07 06:19:12 PDT,+68.1137
2012-08-07 06:20:12 PDT,+68.1375
2012-08-07 06:21:12 PDT,+68.1614
2012-08-07 06:22:12 PDT,+68.1855
2012-08-07 06:23:12 PDT,+68.2099
2012-08-07 06:24:12 PDT,+68.2344
2012-08-07 06:25:12 PDT,+68.2591
2012-08-07 06:26:12 PDT,+68.2841
