# file...... V_tm_7.csv
# date...... Fri May 18 11:44:36 2012
# user...... Luca Meschiari
# host...... (null)
# target.... triplex_meter 66
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2009-07-20 00:00:00 PDT,+55,+119.973,-0.0298506,+119.992,-0.018924,+239.966,-0.0487746
2009-07-20 00:30:00 PDT,+82,+119.964,-0.0390668,+119.992,-0.0227772,+239.956,-0.061844
2009-07-20 01:00:00 PDT,+88,+119.961,-0.0438654,+119.991,-0.0263846,+239.952,-0.07025
2009-07-20 01:30:00 PDT,+89,+119.963,-0.0398933,+119.993,-0.0222133,+239.956,-0.0621066
2009-07-20 02:00:00 PDT,+52,+119.977,-0.0260421,+119.994,-0.0157113,+239.971,-0.0417534
2009-07-20 02:30:00 PDT,+74,+119.97,-0.0312053,+119.996,-0.0165041,+239.966,-0.0477094
2009-07-20 03:00:00 PDT,+90,+119.963,-0.0389456,+119.994,-0.0210667,+239.958,-0.0600123
2009-07-20 03:30:00 PDT,+94,+119.962,-0.0399345,+119.994,-0.0212611,+239.957,-0.0611956
2009-07-20 04:00:00 PDT,+55,+119.977,-0.0245933,+119.996,-0.0136663,+239.973,-0.0382596
2009-07-20 04:30:00 PDT,+69,+119.97,-0.0322322,+119.994,-0.0185245,+239.964,-0.0507566
2009-07-20 05:00:00 PDT,+90,+119.964,-0.0383039,+119.994,-0.0204248,+239.958,-0.0587287
2009-07-20 05:30:00 PDT,+89,+119.966,-0.03494,+119.996,-0.017259,+239.962,-0.052199
2009-07-20 06:00:00 PDT,+51,+119.976,-0.026374,+119.994,-0.0162418,+239.97,-0.0426158
2009-07-20 06:30:00 PDT,+586,+119.801,-0.187464,+120.002,-0.0711432,+239.803,-0.258607
2009-07-20 07:00:00 PDT,+394,+119.866,-0.126736,+120,-0.048501,+239.866,-0.175237
2009-07-20 07:30:00 PDT,+87,+119.965,-0.0369239,+119.995,-0.0196406,+239.96,-0.0565645
