# file...... V_tm_9.csv,,,,,,,,,
# date...... Fri May 18 11:44:36 2012,,,,,,,,,
# user...... Luca Meschiari,,,,,,,,,
# host...... (null),,,,,,,,,
# target.... triplex_meter 68,,,,,,,,,
# trigger... (none),,,,,,,,,
# interval.. 1800,,,,,,,,,
# limit..... 1000000,,,,,,,,,
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag,v1,v2
2009-07-20 21:30:00 PDT,1258,-59.5014,103.759,-59.933,104.008,-119.434,207.767,119.6091413,120.0401123
2009-07-20 22:00:00 PDT,4539.68,-58.9779,103.511,-59.2444,103.666,-118.222,207.177,119.1340414,119.4007474
2009-07-20 22:30:00 PDT,1503,-59.4097,103.735,-59.9254,104.032,-119.335,207.767,119.5427232,120.0571139
2009-07-20 23:00:00 PDT,1158,-59.5319,103.772,-59.9291,104.001,-119.461,207.773,119.635593,120.0321
2009-07-20 23:30:00 PDT,649,-59.7098,103.837,-59.9322,103.965,-119.642,207.802,119.780561,120.0024576
2009-07-21 00:00:00 PDT,674,-59.7282,103.844,-59.9592,103.976,-119.687,207.82,119.7958021,120.0254733
2009-07-21 00:30:00 PDT,707,-59.7166,103.831,-59.9589,103.97,-119.676,207.8,119.7787497,120.0201258
2009-07-21 01:00:00 PDT,564,-59.7719,103.849,-59.9652,103.96,-119.737,207.81,119.8219297,120.0146108
2009-07-21 01:30:00 PDT,538,-59.7805,103.853,-59.9649,103.958,-119.745,207.811,119.8296866,120.0127285
2009-07-21 02:00:00 PDT,531,-59.7809,103.854,-59.9629,103.958,-119.744,207.811,119.8307528,120.0117292
2009-07-21 02:30:00 PDT,498,-59.7989,103.858,-59.9695,103.956,-119.768,207.814,119.8432001,120.0132945
2009-07-21 03:00:00 PDT,579,-59.7617,103.847,-59.9602,103.961,-119.722,207.809,119.8151084,120.0129789
2009-07-21 03:30:00 PDT,463,-59.8035,103.862,-59.9621,103.953,-119.766,207.815,119.8489618,120.0069983
2009-07-21 04:00:00 PDT,450,-59.8082,103.864,-59.9624,103.952,-119.771,207.816,119.8530404,120.006282
2009-07-21 04:30:00 PDT,375,-59.8413,103.882,-59.9698,103.956,-119.811,207.838,119.885158,120.0134444
2009-07-21 05:00:00 PDT,264,-59.8825,103.888,-59.973,103.94,-119.855,207.828,119.9109267,120.0011847
2009-07-21 05:30:00 PDT,355,-59.8428,103.876,-59.9644,103.946,-119.807,207.822,119.8807077,120.0020841
2009-07-21 06:00:00 PDT,260,-59.8799,103.888,-59.969,103.939,-119.849,207.828,119.9096283,119.9983195
2009-07-21 06:30:00 PDT,365,-59.8461,103.876,-59.9711,103.947,-119.817,207.823,119.8823551,120.0062984
2009-07-21 07:00:00 PDT,354,-59.8439,103.877,-59.9652,103.947,-119.809,207.824,119.8821233,120.00335
2009-07-21 07:30:00 PDT,332,-59.8554,103.879,-59.9692,103.944,-119.825,207.824,119.8895973,120.0027503
2009-07-21 08:00:00 PDT,350,-59.8268,103.877,-59.9467,103.946,-119.773,207.824,119.8735881,119.9932405
2009-07-21 08:30:00 PDT,360,-59.8019,103.876,-59.9253,103.947,-119.727,207.823,119.8602963,119.9834171
2009-07-21 09:00:00 PDT,603,-59.7476,103.844,-59.9542,103.963,-119.702,207.807,119.8054758,120.0117139
2009-07-21 09:30:00 PDT,587,-59.7578,103.846,-59.959,103.962,-119.717,207.808,119.8122964,120.0132456
2009-07-21 10:00:00 PDT,555,-59.7676,103.85,-59.9578,103.959,-119.725,207.81,119.8206514,120.0100473
2009-07-21 10:30:00 PDT,388,-59.8328,103.872,-59.9658,103.948,-119.799,207.82,119.8722501,120.0045161
2009-07-21 11:00:00 PDT,315,-59.8209,103.879,-59.9289,103.941,-119.75,207.82,119.8723768,119.9800172
2009-07-21 11:30:00 PDT,515,-59.6221,103.845,-59.7986,103.946,-119.421,207.791,119.743805,119.9193207
2009-07-21 12:00:00 PDT,434,-59.5138,103.797,-59.6626,103.882,-119.176,207.679,119.6482745,119.796059
2009-07-21 12:30:00 PDT,4400.72,-59.0048,103.527,-59.2234,103.654,-118.228,207.181,119.1612611,119.3799096
2009-07-21 13:00:00 PDT,842,-59.5781,103.808,-59.8668,103.974,-119.445,207.781,119.689811,119.977608
2009-07-21 13:30:00 PDT,429,-59.7691,103.865,-59.9162,103.949,-119.685,207.814,119.8344005,119.9806052
2009-07-21 14:00:00 PDT,333,-59.8032,103.878,-59.9174,103.943,-119.721,207.821,119.8626782,119.9760062
2009-07-21 14:30:00 PDT,389,-59.8132,103.871,-59.9465,103.947,-119.76,207.818,119.8616016,119.9940068
2009-07-21 15:00:00 PDT,429,-59.8092,103.866,-59.9563,103.951,-119.765,207.817,119.8552726,120.0023679
2009-07-21 15:30:00 PDT,426,-59.8216,103.867,-59.9675,103.951,-119.789,207.818,119.8623273,120.0079641
2009-07-21 16:00:00 PDT,399,-59.8236,103.87,-59.9603,103.949,-119.784,207.819,119.8659252,120.002634
2009-07-21 16:30:00 PDT,438,-59.8151,103.866,-59.9652,103.952,-119.78,207.818,119.8582168,120.0076811
2009-07-21 17:00:00 PDT,449,-59.7054,103.859,-59.8593,103.948,-119.565,207.807,119.7974402,119.9513339
2009-07-21 17:30:00 PDT,500,-59.6984,103.853,-59.8698,103.952,-119.568,207.805,119.7887498,119.9600402
2009-07-21 18:00:00 PDT,504,-59.6553,103.85,-59.828,103.949,-119.483,207.798,119.7646748,119.936584
2009-07-21 18:30:00 PDT,874,-59.5659,103.805,-59.8656,103.977,-119.432,207.781,119.6811366,119.9796091
2009-07-21 19:00:00 PDT,2080,-59.2155,103.654,-59.9297,104.066,-119.145,207.72,119.3759907,120.0887226
2009-07-21 19:30:00 PDT,1050,-59.5884,103.788,-59.9485,103.995,-119.537,207.783,119.6775934,120.0365889
