# file...... V_tm_8.csv,,,,,,,,,
# date...... Fri May 18 11:44:36 2012,,,,,,,,,
# user...... Luca Meschiari,,,,,,,,,
# host...... (null),,,,,,,,,
# target.... triplex_meter 67,,,,,,,,,
# trigger... (none),,,,,,,,,
# interval.. 1800,,,,,,,,,
# limit..... 1000000,,,,,,,,,
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag,,
2009-07-20 20:30:00 PDT,243,-60.039,-103.784,-60.0387,-103.88,-120.078,-207.665,119.899125,119.9820816
2009-07-20 21:00:00 PDT,238,-60.0509,-103.761,-60.0506,-103.855,-120.101,-207.615,119.8851772,119.9663936
2009-07-20 21:30:00 PDT,398,-60.0639,-103.695,-60.0634,-103.852,-120.127,-207.547,119.8345739,119.9702043
2009-07-20 22:00:00 PDT,283,-60.0321,-103.762,-60.0317,-103.874,-120.064,-207.636,119.8766269,119.9733841
2009-07-20 22:30:00 PDT,288,-60.1323,-103.472,-60.1321,-103.586,-120.264,-207.058,119.6760138,119.7744916
2009-07-20 23:00:00 PDT,291,-60.062,-103.726,-60.0616,-103.841,-120.124,-207.568,119.8604477,119.9597811
2009-07-20 23:30:00 PDT,219,-60.0396,-103.79,-60.0394,-103.876,-120.079,-207.666,119.904619,119.9789687
2009-07-21 00:00:00 PDT,193,-60.0971,-103.568,-60.0969,-103.645,-120.194,-207.213,119.7413548,119.8078604
2009-07-21 00:30:00 PDT,171,-60.0318,-103.816,-60.0315,-103.884,-120.063,-207.7,119.9232207,119.9819422
2009-07-21 01:00:00 PDT,143,-60.0258,-103.835,-60.0256,-103.892,-120.051,-207.727,119.9366662,119.9859172
2009-07-21 01:30:00 PDT,109,-60.0254,-103.845,-60.0253,-103.888,-120.051,-207.734,119.9451236,119.9823036
2009-07-21 02:00:00 PDT,145,-60.0273,-103.833,-60.0271,-103.89,-120.054,-207.722,119.9356854,119.9849359
2009-07-21 02:30:00 PDT,107,-60.0239,-103.849,-60.0238,-103.891,-120.048,-207.74,119.947836,119.9841508
2009-07-21 03:00:00 PDT,145,-60.0284,-103.83,-60.0282,-103.887,-120.057,-207.717,119.9336388,119.9828886
2009-07-21 03:30:00 PDT,109,-60.0229,-103.85,-60.0228,-103.893,-120.046,-207.744,119.9482014,119.9853823
2009-07-21 04:00:00 PDT,145,-60.025,-103.837,-60.0248,-103.895,-120.05,-207.732,119.9379973,119.9881146
2009-07-21 04:30:00 PDT,108,-60.0829,-103.619,-60.0828,-103.661,-120.166,-207.28,119.7783454,119.8146309
2009-07-21 05:00:00 PDT,103,-60.0173,-103.863,-60.0171,-103.904,-120.034,-207.767,119.956655,119.992056
2009-07-21 05:30:00 PDT,149,-60.0227,-103.841,-60.0225,-103.9,-120.045,-207.741,119.9403093,119.9912935
2009-07-21 06:00:00 PDT,108,-60.0177,-103.862,-60.0175,-103.904,-120.035,-207.766,119.9559893,119.9922561
2009-07-21 06:30:00 PDT,105,-60.0247,-103.849,-60.0245,-103.89,-120.049,-207.739,119.9482364,119.9836351
2009-07-21 07:00:00 PDT,146,-60.0344,-103.82,-60.0342,-103.878,-120.069,-207.698,119.927985,119.9780982
2009-07-21 07:30:00 PDT,104,-60.0196,-103.859,-60.0194,-103.9,-120.039,-207.759,119.9543424,119.9897428
2009-07-21 08:00:00 PDT,468,-60.0434,-103.72,-60.0428,-103.905,-120.086,-207.625,119.8459356,120.0057784
2009-07-21 08:30:00 PDT,719,-60.0597,-103.624,-60.059,-103.908,-120.119,-207.532,119.7710355,120.016482
2009-07-21 09:00:00 PDT,222,-60.0341,-103.8,-60.0338,-103.887,-120.068,-207.687,119.9105215,119.9856904
2009-07-21 09:30:00 PDT,156,-60.0293,-103.826,-60.0291,-103.887,-120.058,-207.713,119.9306263,119.9833389
2009-07-21 10:00:00 PDT,148,-60.0278,-103.83,-60.0276,-103.889,-120.055,-207.719,119.9333385,119.9843202
2009-07-21 10:30:00 PDT,144,-60.0224,-103.843,-60.0222,-103.9,-120.045,-207.742,119.9418907,119.9911434
2009-07-21 11:00:00 PDT,145,-60.0183,-103.851,-60.0181,-103.908,-120.036,-207.758,119.9467654,119.9960199
2009-07-21 11:30:00 PDT,143,-60.0206,-103.845,-60.0204,-103.902,-120.041,-207.747,119.9427215,119.9919748
2009-07-21 12:00:00 PDT,277,-60.0209,-103.793,-60.0205,-103.903,-120.041,-207.696,119.8978535,119.9928907
2009-07-21 12:30:00 PDT,132,-60.0144,-103.835,-60.0142,-103.887,-120.029,-207.722,119.9309611,119.975885
