# file...... V_Data_transformer.csv,,,,,,,,,,
# date...... Fri May 18 11:44:36 2012,,,,,,,,,,
# user...... Luca Meschiari,,,,,,,,,,
# host...... (null),,,,,,,,,,
# target.... meter 14,,,,,,,,,,
# trigger... (none),,,,,,,,,,
# interval.. 1800,,,,,,,,,,
# limit..... 1000000,,,,,,,,,,
# timestamp,measured_real_power, voltage_A.real,voltage_A.imag, voltage_B.real,voltage_B.imag, voltage_C.real,voltage_C.imag,V_A,V_B,V_C
2009-07-20 00:00:00 PDT,3525.16,2399.78,-0.405681,-1200.85,-2077.05,-1198.25,2078.49,2399.780034,2399.203498,2399.150629
2009-07-20 00:30:00 PDT,3564.1,2399.74,-0.474826,-1200.84,-2077.07,-1198.26,2078.49,2399.740047,2399.215807,2399.155624
2009-07-20 01:00:00 PDT,2441.04,2399.72,-0.510368,-1200.49,-2077.65,-1198.85,2078.48,2399.720054,2399.542824,2399.441692
2009-07-20 01:30:00 PDT,2284.09,2399.76,-0.435425,-1200.48,-2077.67,-1198.92,2078.48,2399.76004,2399.555138,2399.476667
2009-07-20 02:00:00 PDT,2060.65,2399.82,-0.3173,-1200.46,-2077.7,-1199,2078.48,2399.820021,2399.571108,2399.516641
2009-07-20 02:30:00 PDT,1466.65,2399.82,-0.321126,-1200.3,-2077.96,-1199.35,2078.47,2399.820021,2399.716202,2399.682888
2009-07-20 03:00:00 PDT,1606.76,2399.78,-0.402762,-1200.3,-2077.96,-1199.29,2078.47,2399.780034,2399.716202,2399.652901
2009-07-20 03:30:00 PDT,1590.7,2399.77,-0.406601,-1200.3,-2077.97,-1199.3,2078.47,2399.770034,2399.724861,2399.657899
2009-07-20 04:00:00 PDT,1492.75,2399.85,-0.271194,-1200.33,-2077.92,-1199.31,2078.47,2399.850015,2399.696572,2399.662897
2009-07-20 04:30:00 PDT,1634.75,2399.8,-0.359551,-1200.32,-2077.92,-1199.25,2078.48,2399.800027,2399.69157,2399.641572
2009-07-20 05:00:00 PDT,1807.91,2399.78,-0.397959,-1200.36,-2077.86,-1199.17,2078.48,2399.780033,2399.659624,2399.601592
2009-07-20 05:30:00 PDT,1546.65,2399.81,-0.338408,-1200.32,-2077.93,-1199.31,2078.47,2399.810024,2399.700229,2399.662897
2009-07-20 06:00:00 PDT,1629.8,2399.82,-0.318261,-1200.35,-2077.89,-1199.25,2078.47,2399.820021,2399.680598,2399.63291
2009-07-20 06:30:00 PDT,3036.81,2399.26,-1.34539,-1200.5,-2077.64,-1199.17,2078.48,2399.260377,2399.539168,2399.601592
