# file...... V_Data_transformer.csv
# date...... Fri May 18 11:47:39 2012
# user...... Luca Meschiari
# host...... (null)
# target.... meter 14
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, voltage_A.real,voltage_A.imag, voltage_B.real,voltage_B.imag, voltage_C.real,voltage_C.imag
2009-07-20 00:00:00 PDT,+3525.21,+2394.33,-10.142,-1220.89,-2042.6,-1155.79,+2078.58
2009-07-20 00:30:00 PDT,+3564.14,+2393.36,-11.8706,-1220.61,-2043.08,-1156.15,+2078.59
2009-07-20 01:00:00 PDT,+2441.03,+2392.86,-12.7592,-1212.08,-2058.02,-1171.18,+2078.71
2009-07-20 01:30:00 PDT,+2284.08,+2393.91,-10.8856,-1211.79,-2058.52,-1172.79,+2078.71
2009-07-20 02:00:00 PDT,+2060.65,+2395.57,-7.93247,-1211.43,-2059.14,-1174.84,+2078.71
2009-07-20 02:30:00 PDT,+1466.64,+2395.52,-8.02813,-1207.53,-2065.8,-1183.64,+2078.67
2009-07-20 03:00:00 PDT,+1606.75,+2394.37,-10.069,-1207.51,-2065.85,-1182.07,+2078.68
2009-07-20 03:30:00 PDT,+1590.69,+2394.32,-10.165,-1207.38,-2066.06,-1182.37,+2078.68
2009-07-20 04:00:00 PDT,+1492.74,+2396.21,-6.77981,-1208.12,-2064.8,-1182.65,+2078.68
2009-07-20 04:30:00 PDT,+1634.74,+2394.98,-8.98874,-1208.02,-2064.97,-1181.07,+2078.69
2009-07-20 05:00:00 PDT,+1807.9,+2394.44,-9.94894,-1208.96,-2063.38,-1179.25,+2078.7
2009-07-20 05:30:00 PDT,+1546.64,+2395.27,-8.46015,-1207.98,-2065.04,-1182.81,+2078.68
2009-07-20 06:00:00 PDT,+1629.78,+2395.56,-7.9565,-1208.58,-2064.02,-1181.13,+2078.69
2009-07-20 06:30:00 PDT,+3036.81,+2380.81,-33.6349,-1212.26,-2057.71,-1179.14,+2078.7
2009-07-20 07:00:00 PDT,+2377.58,+2386.93,-23.1338,-1210.9,-2060.06,-1182.54,+2078.68
2009-07-20 07:30:00 PDT,+1712.88,+2394.68,-9.51672,-1208.44,-2064.25,-1180.35,+2078.69
2009-07-20 08:00:00 PDT,+2342.92,+2394.88,-9.15681,-1212.39,-2057.49,-1170.35,+2078.71
2009-07-20 08:30:00 PDT,+1559.78,+2396.15,-6.89981,-1208.07,-2064.9,-1180.82,+2078.69
2009-07-20 09:00:00 PDT,+1743.86,+2394.16,-10.4533,-1208.15,-2064.76,-1180,+2078.69
2009-07-20 09:30:00 PDT,+2058.73,+2389.92,-17.9254,-1206.05,-2068.32,-1175.75,+2078.71
2009-07-20 10:00:00 PDT,+2202.34,+2395.78,-7.54811,-1212.68,-2056.98,-1172.98,+2078.7
2009-07-20 10:30:00 PDT,+1911.2,+2394.61,-9.63701,-1209.67,-2062.16,-1177.45,+2078.7
2009-07-20 11:00:00 PDT,+3095.27,+2383.11,-29.7164,-1212.04,-2058.09,-1172.56,+2078.71
2009-07-20 11:30:00 PDT,+3568.85,+2375.59,-42.3881,-1212.08,-2058.01,-1174.17,+2078.71
2009-07-20 12:00:00 PDT,+4267.83,+2373.33,-46.138,-1215.38,-2052.28,-1165.75,+2078.68
2009-07-20 12:30:00 PDT,+4429.72,+2367.42,-55.8093,-1213.5,-2055.56,-1168.67,+2078.7
2009-07-20 13:00:00 PDT,+3271.71,+2382.35,-31.0145,-1212.99,-2056.45,-1171.06,+2078.7
2009-07-20 13:30:00 PDT,+3667.04,+2391.82,-14.5851,-1219.12,-2045.73,-1153.39,+2078.56
2009-07-20 14:00:00 PDT,+2810.78,+2392.2,-13.9125,-1213.56,-2055.47,-1165.2,+2078.69
2009-07-20 14:30:00 PDT,+5560.77,+2395.42,-8.1965,-1235.04,-2016.59,-1125.99,+2077.76
2009-07-20 15:00:00 PDT,+2506.13,+2394.95,-9.03714,-1213.37,-2055.77,-1167.67,+2078.69
