# file...... V_tm_5.csv
# date...... Fri May 18 11:47:39 2012
# user...... Luca Meschiari
# host...... (null)
# target.... triplex_meter 64
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2009-07-20 00:00:00 PDT,+215,-61.0504,-102.048,-61.0514,-102.133,-122.102,-204.181
2009-07-20 00:30:00 PDT,+226,-61.0372,-102.069,-61.0382,-102.159,-122.075,-204.227
2009-07-20 01:00:00 PDT,+172,-60.6097,-102.839,-60.61,-102.907,-121.22,-205.746
2009-07-20 01:30:00 PDT,+129,-60.5935,-102.878,-60.5938,-102.929,-121.187,-205.807
2009-07-20 02:00:00 PDT,+128,-60.5755,-102.909,-60.5757,-102.96,-121.151,-205.87
2009-07-20 02:30:00 PDT,+127,-60.3811,-103.245,-60.3812,-103.295,-120.762,-206.54
2009-07-20 03:00:00 PDT,+121,-60.3794,-103.25,-60.3795,-103.298,-120.759,-206.547
2009-07-20 03:30:00 PDT,+119,-60.3731,-103.261,-60.3731,-103.308,-120.746,-206.569
2009-07-20 04:00:00 PDT,+119,-60.4101,-103.197,-60.4102,-103.244,-120.82,-206.442
2009-07-20 04:30:00 PDT,+119,-60.4052,-103.206,-60.4053,-103.253,-120.811,-206.459
2009-07-20 05:00:00 PDT,+118,-60.452,-103.126,-60.4521,-103.173,-120.904,-206.298
2009-07-20 05:30:00 PDT,+117,-60.4032,-103.21,-60.4032,-103.256,-120.806,-206.466
2009-07-20 06:00:00 PDT,+154,-60.4345,-103.146,-60.4346,-103.207,-120.869,-206.354
2009-07-20 06:30:00 PDT,+345,-60.6265,-102.77,-60.6272,-102.907,-121.254,-205.677
2009-07-20 07:00:00 PDT,+317,-60.5571,-102.896,-60.5576,-103.022,-121.115,-205.918
2009-07-20 07:30:00 PDT,+109,-60.4258,-103.173,-60.4259,-103.216,-120.852,-206.39
2009-07-20 08:00:00 PDT,+48,-60.6205,-102.852,-60.6206,-102.871,-121.241,-205.722
2009-07-20 08:30:00 PDT,+48,-60.4046,-103.225,-60.4046,-103.244,-120.809,-206.469
2009-07-20 09:00:00 PDT,+114,-60.4113,-103.197,-60.4114,-103.242,-120.823,-206.439
