# file...... V_tm_9.csv
# date...... Fri May 18 11:47:39 2012
# user...... Luca Meschiari
# host...... (null)
# target.... triplex_meter 68
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2009-07-20 00:00:00 PDT,+950,-57.4911,+103.798,-57.8168,+103.992,-115.308,+207.791
2009-07-20 00:30:00 PDT,+941,-57.5122,+103.8,-57.8348,+103.992,-115.347,+207.791
2009-07-20 01:00:00 PDT,+530,-58.392,+103.863,-58.5736,+103.969,-116.966,+207.832
2009-07-20 01:30:00 PDT,+603,-58.4507,+103.853,-58.6574,+103.974,-117.108,+207.828
2009-07-20 02:00:00 PDT,+534,-58.5747,+103.863,-58.7577,+103.97,-117.332,+207.833
2009-07-20 02:30:00 PDT,+299,-59.0879,+103.893,-59.1904,+103.953,-118.278,+207.846
2009-07-20 03:00:00 PDT,+296,-59.0097,+103.894,-59.1111,+103.953,-118.121,+207.846
2009-07-20 03:30:00 PDT,+263,-59.0349,+103.898,-59.125,+103.95,-118.16,+207.848
2009-07-20 04:00:00 PDT,+347,-59.0234,+103.887,-59.1423,+103.956,-118.166,+207.843
2009-07-20 04:30:00 PDT,+213,-58.9845,+103.905,-59.0575,+103.948,-118.042,+207.853
2009-07-20 05:00:00 PDT,+268,-58.8763,+103.898,-58.9681,+103.952,-117.844,+207.85
2009-07-20 05:30:00 PDT,+262,-59.0574,+103.898,-59.1471,+103.95,-118.205,+207.849
2009-07-20 06:00:00 PDT,+297,-58.9621,+103.894,-59.0639,+103.953,-118.026,+207.847
2009-07-20 06:30:00 PDT,+380,-58.8386,+103.881,-58.9688,+103.957,-117.807,+207.839
2009-07-20 07:00:00 PDT,+313,-59.0292,+103.891,-59.1364,+103.953,-118.166,+207.844
2009-07-20 07:30:00 PDT,+344,-58.9091,+103.888,-59.0269,+103.956,-117.936,+207.844
2009-07-20 08:00:00 PDT,+332,-58.4092,+103.89,-58.5229,+103.956,-116.932,+207.846
2009-07-20 08:30:00 PDT,+329,-58.937,+103.89,-59.0497,+103.955,-117.987,+207.845
2009-07-20 09:00:00 PDT,+287,-58.9082,+103.895,-59.0065,+103.953,-117.915,+207.848
2009-07-20 09:30:00 PDT,+198,-58.7218,+103.906,-58.7896,+103.946,-117.511,+207.852
2009-07-20 10:00:00 PDT,+683,-58.4361,+103.843,-58.6702,+103.98,-117.106,+207.823
2009-07-20 10:30:00 PDT,+418,-58.7407,+103.878,-58.8839,+103.962,-117.625,+207.84
2009-07-20 11:00:00 PDT,+635,-58.4307,+103.847,-58.6484,+103.975,-117.079,+207.822
2009-07-20 11:30:00 PDT,+628,-58.5144,+103.847,-58.7296,+103.973,-117.244,+207.82
2009-07-20 12:00:00 PDT,+846,-58.0251,+103.815,-58.3151,+103.986,-116.34,+207.801
2009-07-20 12:30:00 PDT,+738,-58.2052,+103.83,-58.4582,+103.979,-116.663,+207.808
2009-07-20 13:00:00 PDT,+682,-58.3412,+103.84,-58.5749,+103.978,-116.916,+207.818
2009-07-20 13:30:00 PDT,+869,-57.3947,+103.807,-57.6926,+103.984,-115.087,+207.791
2009-07-20 14:00:00 PDT,+615,-58.0656,+103.849,-58.2764,+103.974,-116.342,+207.823
2009-07-20 14:30:00 PDT,+2003,-55.6736,+103.603,-56.361,+104.025,-112.035,+207.628
2009-07-20 15:00:00 PDT,+779,-58.1402,+103.828,-58.4072,+103.986,-116.547,+207.814
2009-07-20 15:30:00 PDT,+4421.49,-52.3361,+101.998,-52.5839,+102.156,-104.92,+204.154
2009-07-20 16:00:00 PDT,+1675,-56.53,+103.678,-57.1047,+104.025,-113.635,+207.703
2009-07-20 16:30:00 PDT,+4282.51,-52.6652,+102.046,-52.8638,+102.172,-105.529,+204.217
2009-07-20 17:00:00 PDT,+622,-58.4449,+103.851,-58.6581,+103.976,-117.103,+207.827
2009-07-20 17:30:00 PDT,+599,-58.5495,+103.854,-58.7548,+103.974,-117.304,+207.829
2009-07-20 18:00:00 PDT,+864,-58.0026,+103.816,-58.2987,+103.991,-116.301,+207.807
2009-07-20 18:30:00 PDT,+943,-55.401,+103.723,-55.7242,+103.923,-111.125,+207.646
2009-07-20 19:00:00 PDT,+4225.13,-50.0063,+101.766,-50.191,+101.889,-100.197,+203.656
2009-07-20 19:30:00 PDT,+1018,-57.0543,+103.781,-57.4033,+103.99,-114.458,+207.771
2009-07-20 20:00:00 PDT,+720,-57.7212,+103.831,-57.968,+103.978,-115.689,+207.809
2009-07-20 20:30:00 PDT,+712,-58.0124,+103.836,-58.2565,+103.98,-116.269,+207.817
2009-07-20 21:00:00 PDT,+1162,-57.3361,+103.767,-57.7345,+104.005,-115.071,+207.772
2009-07-20 21:30:00 PDT,+1258,-56.9402,+103.746,-57.3716,+104.005,-114.312,+207.751
2009-07-20 22:00:00 PDT,+775,-57.7538,+103.825,-58.0194,+103.983,-115.773,+207.808
2009-07-20 22:30:00 PDT,+5200.95,-50.4718,+101.699,-50.9953,+102.044,-101.467,+203.743
2009-07-20 23:00:00 PDT,+1158,-56.9672,+103.76,-57.3643,+103.998,-114.331,+207.758
2009-07-20 23:30:00 PDT,+649,-57.6768,+103.84,-57.8992,+103.972,-115.576,+207.811
2009-07-21 00:00:00 PDT,+4383.56,-52.3513,+102.004,-52.5858,+102.154,-104.937,+204.159
2009-07-21 00:30:00 PDT,+707,-58.2096,+103.838,-58.4519,+103.981,-116.662,+207.819
2009-07-21 01:00:00 PDT,+564,-58.5292,+103.859,-58.7225,+103.972,-117.252,+207.831
2009-07-21 01:30:00 PDT,+538,-58.5485,+103.862,-58.7328,+103.97,-117.281,+207.832
2009-07-21 02:00:00 PDT,+531,-58.5144,+103.863,-58.6963,+103.97,-117.211,+207.833
2009-07-21 02:30:00 PDT,+498,-58.7026,+103.868,-58.8733,+103.967,-117.576,+207.835
2009-07-21 03:00:00 PDT,+579,-58.3951,+103.856,-58.5935,+103.973,-116.989,+207.829
2009-07-21 03:30:00 PDT,+463,-58.5809,+103.872,-58.7395,+103.965,-117.32,+207.837
2009-07-21 04:00:00 PDT,+450,-58.603,+103.874,-58.7571,+103.964,-117.36,+207.838
2009-07-21 04:30:00 PDT,+375,-58.7815,+103.884,-58.91,+103.959,-117.691,+207.842
2009-07-21 05:00:00 PDT,+264,-59.0706,+103.898,-59.1611,+103.95,-118.232,+207.848
2009-07-21 05:30:00 PDT,+355,-58.7667,+103.886,-58.8883,+103.957,-117.655,+207.844
2009-07-21 06:00:00 PDT,+260,-58.9858,+103.898,-59.0749,+103.95,-118.061,+207.848
2009-07-21 06:30:00 PDT,+365,-58.8988,+103.885,-59.0239,+103.958,-117.923,+207.844
2009-07-21 07:00:00 PDT,+354,-58.7718,+103.888,-58.8931,+103.958,-117.665,+207.846
2009-07-21 07:30:00 PDT,+332,-58.9002,+103.889,-59.014,+103.955,-117.914,+207.845
2009-07-21 08:00:00 PDT,+350,-58.3858,+103.887,-58.5057,+103.958,-116.892,+207.845
2009-07-21 08:30:00 PDT,+360,-57.9007,+103.882,-58.024,+103.955,-115.925,+207.837
2009-07-21 09:00:00 PDT,+603,-58.2329,+103.852,-58.4396,+103.974,-116.672,+207.826
2009-07-21 09:30:00 PDT,+587,-58.3565,+103.855,-58.5577,+103.973,-116.914,+207.828
2009-07-21 10:00:00 PDT,+555,-58.3731,+103.859,-58.5633,+103.971,-116.936,+207.83
2009-07-21 10:30:00 PDT,+388,-58.7581,+103.882,-58.891,+103.96,-117.649,+207.842
2009-07-21 11:00:00 PDT,+315,-58.0249,+103.886,-58.1328,+103.949,-116.158,+207.835
2009-07-21 11:30:00 PDT,+515,-54.8155,+103.733,-54.992,+103.842,-109.807,+207.575
2009-07-21 12:00:00 PDT,+434,-57.2809,+103.85,-57.4296,+103.939,-114.71,+207.789
