# file...... V_tm_3.csv
# date...... Fri May 18 11:45:35 2012
# user...... Luca Meschiari
# host...... (null)
# target.... triplex_meter 62
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2009-07-20 00:00:00 PDT,+312,-59.4574,+103.888,-59.5643,+103.95,-119.022,+207.837
2009-07-20 00:30:00 PDT,+330,-59.4558,+103.885,-59.5688,+103.951,-119.025,+207.836
2009-07-20 01:00:00 PDT,+355,-59.6006,+103.88,-59.7223,+103.95,-119.323,+207.831
2009-07-20 01:30:00 PDT,+275,-59.6407,+103.891,-59.7349,+103.945,-119.376,+207.835
2009-07-20 02:00:00 PDT,+226,-59.6761,+103.897,-59.7535,+103.942,-119.43,+207.839
2009-07-20 02:30:00 PDT,+186,-59.7777,+103.901,-59.8414,+103.938,-119.619,+207.838
2009-07-20 03:00:00 PDT,+239,-59.7459,+103.894,-59.8278,+103.941,-119.574,+207.835
2009-07-20 03:30:00 PDT,+235,-59.7502,+103.895,-59.8307,+103.941,-119.581,+207.835
2009-07-20 04:00:00 PDT,+172,-59.7716,+103.903,-59.8305,+103.937,-119.602,+207.84
2009-07-20 04:30:00 PDT,+236,-59.7366,+103.895,-59.8175,+103.941,-119.554,+207.836
2009-07-20 05:00:00 PDT,+234,-59.7186,+103.895,-59.7988,+103.941,-119.517,+207.836
2009-07-20 05:30:00 PDT,+174,-59.7728,+103.903,-59.8324,+103.937,-119.605,+207.839
2009-07-20 06:00:00 PDT,+229,-59.7393,+103.896,-59.8177,+103.941,-119.557,+207.837
2009-07-20 06:30:00 PDT,+228,-59.7205,+103.894,-59.7986,+103.939,-119.519,+207.834
2009-07-20 07:00:00 PDT,+175,-59.7705,+103.902,-59.8305,+103.936,-119.601,+207.838
2009-07-20 07:30:00 PDT,+222,-59.7334,+103.897,-59.8095,+103.94,-119.543,+207.837
2009-07-20 08:00:00 PDT,+239,-59.6265,+103.896,-59.7084,+103.943,-119.335,+207.839
