# file...... V_tm_2.csv
# date...... Fri May 18 11:47:39 2012
# user...... Luca Meschiari
# host...... (null)
# target.... triplex_meter 61
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2009-07-20 00:00:00 PDT,+950,-61.0746,-101.81,-61.0793,-102.189,-122.154,-203.999
2009-07-20 00:30:00 PDT,+941,-61.0607,-101.838,-61.0653,-102.213,-122.126,-204.051
2009-07-20 01:00:00 PDT,+530,-60.6222,-102.724,-60.6233,-102.934,-121.246,-205.658
2009-07-20 01:30:00 PDT,+603,-60.6101,-102.725,-60.6114,-102.965,-121.222,-205.69
2009-07-20 02:00:00 PDT,+534,-60.5898,-102.779,-60.5908,-102.991,-121.181,-205.77
2009-07-20 02:30:00 PDT,+299,-60.3873,-103.19,-60.3875,-103.309,-120.775,-206.499
2009-07-20 03:00:00 PDT,+296,-60.3857,-103.194,-60.3859,-103.311,-120.772,-206.505
2009-07-20 03:30:00 PDT,+263,-60.3783,-103.215,-60.3784,-103.319,-120.757,-206.534
2009-07-20 04:00:00 PDT,+347,-60.4183,-103.124,-60.4186,-103.262,-120.837,-206.386
2009-07-20 04:30:00 PDT,+213,-60.4086,-103.176,-60.4088,-103.26,-120.817,-206.437
2009-07-20 05:00:00 PDT,+268,-60.4574,-103.078,-60.4577,-103.184,-120.915,-206.262
2009-07-20 05:30:00 PDT,+262,-60.4084,-103.164,-60.4086,-103.268,-120.817,-206.431
2009-07-20 06:00:00 PDT,+297,-60.4396,-103.101,-60.4399,-103.219,-120.88,-206.32
2009-07-20 06:30:00 PDT,+380,-60.6276,-102.759,-60.6284,-102.91,-121.256,-205.669
2009-07-20 07:00:00 PDT,+313,-60.5569,-102.898,-60.5574,-103.022,-121.114,-205.92
2009-07-20 07:30:00 PDT,+344,-60.4342,-103.098,-60.4346,-103.234,-120.869,-206.332
2009-07-20 08:00:00 PDT,+332,-60.6305,-102.761,-60.6312,-102.893,-121.262,-205.654
2009-07-20 08:30:00 PDT,+329,-60.4147,-103.135,-60.415,-103.265,-120.83,-206.4
2009-07-20 09:00:00 PDT,+287,-60.4175,-103.142,-60.4178,-103.255,-120.835,-206.397
2009-07-20 09:30:00 PDT,+198,-60.3089,-103.35,-60.309,-103.429,-120.618,-206.779
2009-07-20 10:00:00 PDT,+683,-60.6572,-102.622,-60.6588,-102.893,-121.316,-205.514
2009-07-20 10:30:00 PDT,+418,-60.4982,-102.968,-60.4987,-103.134,-120.997,-206.102
2009-07-20 11:00:00 PDT,+635,-60.6244,-102.695,-60.6258,-102.947,-121.25,-205.642
2009-07-20 11:30:00 PDT,+628,-60.6269,-102.695,-60.6283,-102.944,-121.255,-205.639
2009-07-20 12:00:00 PDT,+846,-60.7986,-102.336,-60.8013,-102.672,-121.6,-205.008
2009-07-20 12:30:00 PDT,+738,-60.7015,-102.537,-60.7035,-102.83,-121.405,-205.368
2009-07-20 13:00:00 PDT,+682,-60.6732,-102.598,-60.6749,-102.869,-121.348,-205.466
2009-07-20 13:30:00 PDT,+869,-60.9836,-101.995,-60.9875,-102.341,-121.971,-204.336
2009-07-20 14:00:00 PDT,+615,-60.6983,-102.568,-60.6999,-102.813,-121.398,-205.381
2009-07-20 14:30:00 PDT,+2003,-61.8075,-100.152,-61.8277,-100.958,-123.635,-201.11
2009-07-20 15:00:00 PDT,+779,-60.6947,-102.53,-60.6968,-102.839,-121.392,-205.369
2009-07-20 15:30:00 PDT,+712,-60.6736,-102.571,-60.6754,-102.853,-121.349,-205.424
2009-07-20 16:00:00 PDT,+1675,-61.4159,-100.984,-61.4284,-101.654,-122.844,-202.638
2009-07-20 16:30:00 PDT,+571,-60.6005,-102.736,-60.6016,-102.963,-121.202,-205.699
2009-07-20 17:00:00 PDT,+622,-60.6232,-102.697,-60.6246,-102.944,-121.248,-205.641
2009-07-20 17:30:00 PDT,+599,-60.6059,-102.734,-60.6071,-102.971,-121.213,-205.705
2009-07-20 18:00:00 PDT,+864,-60.8171,-102.292,-60.82,-102.636,-121.637,-204.928
2009-07-20 18:30:00 PDT,+943,-61.0736,-101.813,-61.0783,-102.189,-122.152,-204.003
2009-07-20 19:00:00 PDT,+531,-61.2227,-101.639,-61.2257,-101.851,-122.448,-203.49
2009-07-20 19:30:00 PDT,+1018,-61.2945,-101.392,-61.301,-101.798,-122.595,-203.19
2009-07-20 20:00:00 PDT,+720,-60.8031,-102.356,-60.8054,-102.642,-121.609,-204.998
2009-07-20 20:30:00 PDT,+712,-60.79,-102.381,-60.7922,-102.664,-121.582,-205.046
2009-07-20 21:00:00 PDT,+1162,-61.1117,-101.684,-61.1178,-102.148,-122.23,-203.832
2009-07-20 21:30:00 PDT,+1258,-61.2874,-101.338,-61.2955,-101.841,-122.583,-203.179
2009-07-20 22:00:00 PDT,+775,-60.9296,-102.118,-60.9327,-102.426,-121.862,-204.544
2009-07-20 22:30:00 PDT,+1503,-61.5388,-100.791,-61.551,-101.393,-123.09,-202.183
2009-07-20 23:00:00 PDT,+1158,-61.3219,-101.304,-61.3295,-101.767,-122.651,-203.071
2009-07-20 23:30:00 PDT,+649,-60.8256,-102.336,-60.8278,-102.594,-121.653,-204.93
2009-07-21 00:00:00 PDT,+674,-60.7202,-102.5,-60.7221,-102.768,-121.442,-205.267
2009-07-21 00:30:00 PDT,+707,-60.6813,-102.573,-60.6831,-102.854,-121.364,-205.427
2009-07-21 01:00:00 PDT,+564,-60.551,-102.838,-60.552,-103.061,-121.103,-205.899
2009-07-21 01:30:00 PDT,+538,-60.5663,-102.819,-60.5672,-103.032,-121.133,-205.851
