# file...... V_tm_6.csv
# date...... Fri May 18 11:47:39 2012
# user...... Luca Meschiari
# host...... (null)
# target.... triplex_meter 65
# trigger... (none)
# interval.. 1800
# limit..... 1000000
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag
2009-07-20 00:00:00 PDT,+334,-57.6763,+103.882,-57.7907,+103.95,-115.467,+207.832
2009-07-20 00:30:00 PDT,+312,-57.7012,+103.885,-57.8081,+103.948,-115.509,+207.833
2009-07-20 01:00:00 PDT,+159,-58.5033,+103.912,-58.5577,+103.944,-117.061,+207.856
2009-07-20 01:30:00 PDT,+108,-58.599,+103.919,-58.636,+103.941,-117.235,+207.86
2009-07-20 02:00:00 PDT,+152,-58.6892,+103.914,-58.7413,+103.944,-117.431,+207.858
2009-07-20 02:30:00 PDT,+109,-59.1449,+103.918,-59.1822,+103.94,-118.327,+207.858
2009-07-20 03:00:00 PDT,+116,-59.0637,+103.917,-59.1035,+103.94,-118.167,+207.858
2009-07-20 03:30:00 PDT,+142,-59.0713,+103.914,-59.12,+103.942,-118.191,+207.856
2009-07-20 04:00:00 PDT,+111,-59.0942,+103.918,-59.1322,+103.94,-118.226,+207.858
2009-07-20 04:30:00 PDT,+238,-58.9775,+103.902,-59.0591,+103.949,-118.037,+207.851
2009-07-20 05:00:00 PDT,+251,-58.8819,+103.9,-58.9678,+103.951,-117.85,+207.851
2009-07-20 05:30:00 PDT,+188,-59.0799,+103.908,-59.1442,+103.945,-118.224,+207.853
2009-07-20 06:00:00 PDT,+159,-59.0037,+103.912,-59.0581,+103.944,-118.062,+207.856
2009-07-20 06:30:00 PDT,+149,-58.9079,+103.912,-58.9589,+103.942,-117.867,+207.854
2009-07-20 07:00:00 PDT,+146,-59.0794,+103.913,-59.1294,+103.942,-118.209,+207.854
2009-07-20 07:30:00 PDT,+147,-58.9682,+103.914,-59.0186,+103.943,-117.987,+207.857
2009-07-20 08:00:00 PDT,+503,-58.359,+103.867,-58.5313,+103.968,-116.89,+207.835
2009-07-20 08:30:00 PDT,+196,-58.9771,+103.907,-59.0443,+103.947,-118.021,+207.854
2009-07-20 09:00:00 PDT,+178,-58.9411,+103.91,-59.0021,+103.945,-117.943,+207.855
2009-07-20 09:30:00 PDT,+109,-58.7486,+103.918,-58.7859,+103.94,-117.534,+207.858
2009-07-20 10:00:00 PDT,+102,-58.6101,+103.92,-58.645,+103.941,-117.255,+207.861
2009-07-20 10:30:00 PDT,+151,-58.8208,+103.914,-58.8725,+103.944,-117.693,+207.857
2009-07-20 11:00:00 PDT,+104,-58.5897,+103.918,-58.6253,+103.939,-117.215,+207.856
2009-07-20 11:30:00 PDT,+114,-58.6683,+103.915,-58.7073,+103.938,-117.376,+207.854
2009-07-20 12:00:00 PDT,+135,-58.2381,+103.91,-58.2843,+103.938,-116.522,+207.848
2009-07-20 12:30:00 PDT,+106,-58.3944,+103.914,-58.4307,+103.936,-116.825,+207.85
2009-07-20 13:00:00 PDT,+125,-58.508,+103.915,-58.5508,+103.94,-117.059,+207.854
2009-07-20 13:30:00 PDT,+382,-57.5414,+103.873,-57.6722,+103.951,-115.214,+207.824
2009-07-20 14:00:00 PDT,+233,-58.1804,+103.9,-58.2602,+103.948,-116.441,+207.848
2009-07-20 14:30:00 PDT,+426,-56.1482,+103.825,-56.2942,+103.914,-112.442,+207.74
2009-07-20 15:00:00 PDT,+121,-58.3373,+103.916,-58.3787,+103.941,-116.716,+207.857
2009-07-20 15:30:00 PDT,+174,-52.9518,+102.344,-53.0122,+102.382,-105.964,+204.725
2009-07-20 16:00:00 PDT,+189,-56.9762,+103.883,-57.041,+103.922,-114.017,+207.805
2009-07-20 16:30:00 PDT,+140,-53.2482,+102.374,-53.2967,+102.404,-106.545,+204.778
2009-07-20 17:00:00 PDT,+110,-58.5982,+103.919,-58.6359,+103.941,-117.234,+207.86
2009-07-20 17:30:00 PDT,+110,-58.696,+103.919,-58.7336,+103.941,-117.43,+207.86
2009-07-20 18:00:00 PDT,+138,-58.2201,+103.913,-58.2674,+103.941,-116.487,+207.854
2009-07-20 18:30:00 PDT,+402,-55.5642,+103.8,-55.7019,+103.885,-111.266,+207.685
2009-07-20 19:00:00 PDT,+994,-50.3166,+101.97,-50.6617,+102.198,-100.978,+204.168
2009-07-20 19:30:00 PDT,+642,-57.1683,+103.833,-57.3882,+103.964,-114.556,+207.797
2009-07-20 20:00:00 PDT,+248,-57.863,+103.895,-57.9479,+103.945,-115.811,+207.84
2009-07-20 20:30:00 PDT,+243,-58.1533,+103.899,-58.2365,+103.948,-116.39,+207.848
2009-07-20 21:00:00 PDT,+238,-57.6134,+103.893,-57.6949,+103.941,-115.308,+207.834
2009-07-20 21:30:00 PDT,+398,-57.1988,+103.864,-57.3351,+103.946,-114.534,+207.809
2009-07-20 22:00:00 PDT,+283,-57.9017,+103.891,-57.9986,+103.949,-115.9,+207.84
2009-07-20 22:30:00 PDT,+288,-51.2947,+102.161,-51.3947,+102.226,-102.689,+204.386
2009-07-20 23:00:00 PDT,+291,-57.2277,+103.879,-57.3273,+103.938,-114.555,+207.817
2009-07-20 23:30:00 PDT,+219,-57.8059,+103.898,-57.8809,+103.942,-115.687,+207.84
2009-07-21 00:00:00 PDT,+193,-52.9496,+102.342,-53.0166,+102.384,-105.966,+204.726
2009-07-21 00:30:00 PDT,+171,-58.3703,+103.91,-58.4289,+103.944,-116.799,+207.854
2009-07-21 01:00:00 PDT,+143,-58.6554,+103.915,-58.7044,+103.943,-117.36,+207.858
2009-07-21 01:30:00 PDT,+109,-58.677,+103.919,-58.7143,+103.941,-117.391,+207.86
